shn,Tshiat_Gu,n,Han_Ji,Ji_Gi_Kai_Sik,note1,note2,Tshiat_Gu2,unknown
2,徒紅,14,𤭁,上同,,,徒紅,
2,徒紅,15,罿,車上網又音衝,,,徒紅,
2,徒紅,16,犝,犝牛無角,,,徒紅,
2,徒紅,17,筩,竹筩,,,徒紅,
2,徒紅,18,潼,水名出廣漢郡亦關名又通衝二音,,,徒紅,
2,徒紅,19,曈,曈曨日欲明也又他孔切,,,徒紅,
2,徒紅,20,洞,洪洞縣名在晉州北又徒弄切,,,徒紅,
2,徒紅,21,侗,楊子法言云倥侗顓蒙,,,徒紅,
2,徒紅,22,橦,木名花可爲布出字書又鍾幢二音,,,徒紅,
2,徒紅,23,烔,熱氣烔烔出字林,,,徒紅,
2,徒紅,24,䴀,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欽期交州記,,,徒紅,
2,徒紅,25,挏,引也漢官名有挏馬又音動,,,徒紅,
2,徒紅,26,酮,馬酪又音動,,,徒紅,
2,徒紅,27,鮦,爾雅云鰹大鮦又直冡直栁二切,,,徒紅,
2,徒紅,28,㼿,井甓一云甃也,,,徒紅,
2,徒紅,29,𦏆,無角羊,,,徒紅,
2,徒紅,30,𦍻,上同,,,徒紅,
2,徒紅,31,眮,目眶又徒揔切,,,徒紅,
2,徒紅,32,蕫,草名又多動切,,,徒紅,
2,徒紅,33,穜,穜稑先種後熟謂之穜後種先熟謂之稑又音重,,,徒紅,
2,徒紅,34,衕,通街也,,,徒紅,
2,徒紅,35,𩍅,靫具飾也,,,徒紅,
2,徒紅,36,𢈉,地下應聲,,,徒紅,
2,徒紅,37,䆚,通䆚也,,,徒紅,
2,徒紅,38,哃,哃𠹔大言,,,徒紅,
2,徒紅,39,𢏕,弓飾,,,徒紅,
2,徒紅,40,絧,布名,,,徒紅,
2,徒紅,41,𨚯,郷名,,,徒紅,
2,徒紅,42,𨝯,地名又姓,,,徒紅,
2,徒紅,43,𪔝,鼓聲,,,徒紅,
2,徒紅,44,𩦶,黑虎,,,徒紅,
2,徒紅,45,𪒿,黑皃,,,徒紅,
3,陟弓,1,中,平也成也宜也堪也任也和也半也又姓漢少府郷中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四,,,陟弓,
3,陟弓,2,衷,善也正也適也中也又衷衣褻衣也,,,陟弓,
3,陟弓,3,忠,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州,,,陟弓,
3,陟弓,4,𦬕,草名又音沖,,,陟弓,
4,直弓,1,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲[進/達]直弓切七,,,直弓,
4,直弓,2,沖,和也深也,,,直弓,
4,直弓,3,种,稚也或作沖亦姓後漢司徒河南种暠,,,直弓,
4,直弓,4,盅,器虛也又敕中切,,,直弓,
4,直弓,5,爞,爾雅云爞爞炎炎熏也,,,直弓,
4,直弓,6,𦬕,草名又音中,,,直弓,
4,直弓,7,翀,直上飛也,,,直弓,
5,職戎,1,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,,,職戎,
5,職戎,2,衆,又之仲切,,,職戎,
5,職戎,3,潨,小水入大水又徂紅在冬二切,,,職戎,
5,職戎,4,𣧩,殁也,,,職戎,
5,職戎,5,螽,螽斯蟲也,,,職戎,
5,職戎,6,𧑄,上同,,,職戎,
5,職戎,7,鼨,豹文䑕也,,,職戎,
5,職戎,8,蔠,蔠葵蘩露也,,,職戎,
5,職戎,9,柊,木名又齊人謂椎爲柊楑也,,,職戎,
5,職戎,10,𩅧,小雨,,,職戎,
5,職戎,11,䶱,字書云龜名也,,,職戎,
5,職戎,12,鴤,鳥名,,,職戎,
5,職戎,13,䈺,篋䈺戎人呼之,,,職戎,
5,職戎,14,泈,水名在襄陽,,,職戎,
5,職戎,15,䝦,獸如豹,,,職戎,
6,敕中,1,忡,憂也敕中切三,,,敕中,
6,敕中,2,浺,浺瀜水平逺之皃又音蟲,,,敕中,
6,敕中,3,盅,器虚也又音蟲,,,敕中,
7,鋤弓,1,崇,高也敬也就也聚也又姓鋤弓切四,,,鋤弓,
7,鋤弓,2,崈,上同,,,鋤弓,
7,鋤弓,3,㓽,鍤屬,,,鋤弓,
7,鋤弓,4,𩞉,饞𩞉貪食也出古今字音,,,鋤弓,
8,息弓,1,嵩,山髙也又山名又姓史記有嵩極玄子或作崧息弓切九,,,息弓,
8,息弓,2,崧,上同,,,息弓,
8,息弓,3,𪀚,似鷹而小能捕雀也,,,息弓,
8,息弓,4,娀,有娀氏女𥳑狄帝嚳次妃吞乙卵生契,,,息弓,
8,息弓,5,菘,菜名,,,息弓,
8,息弓,6,硹,地名在遼,,,息弓,
8,息弓,7,㣝,姓也,,,息弓,
8,息弓,8,𧊕,蟲名,,,息弓,
8,息弓,9,𨱿,細毛,,,息弓,
9,如融,1,戎,戎狄亦助也≆說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,,,如融,
9,如融,2,𢦦,上同,,,如融,
9,如融,3,茙,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也,,,如融,
9,如融,4,㭜,木名,,,如融,
9,如融,5,駥,馬八尺也,,,如融,
9,如融,6,𥬪,小竹可爲矢,,,如融,
9,如融,7,𠈋,𠈋人身有三角也,,,如融,
9,如融,8,狨,細布,,,如融,
9,如融,9,絨,上同,,,如融,
10,居戎,1,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也丗本曰黃帝臣揮作弓墨子曰羿作弓孫子曰[傜/倕]作弓又姓魯大夫叔弓之後居戎切六,,,居戎,
10,居戎,2,躳,身也親也又姓出姓苑,,,居戎,
10,居戎,3,躬,上同,,,居戎,
10,居戎,4,㴦,縣名在酒泉,,,居戎,
10,居戎,5,宮,白虎通曰黃帝作宫室以避寒暑宫之言中也丗本曰禹作宫亦官名漢書曰少府官有守宫令主御筆墨紙封書泥也又姓左傳虞有宫之奇,,,居戎,
10,居戎,6,匑,謹敬之皃又音穹,,,居戎,
11,以戎,1,融,和也朗也≆說文曰炊气上出也又姓丗本云古天子祝融之後以戎切四,,,以戎,
11,以戎,2,肜,祭名又敕林切,,,以戎,
11,以戎,3,瀜,沖瀜大水皃,,,以戎,
12,羽弓,1,雄,雄雌也亦姓舜友有雄陶羽弓切二,,,羽弓,
12,羽弓,2,熊,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊冝僚又漢複姓左傳楚大夫熊率且比,,,羽弓,
13,莫中,1,瞢,目不明莫中切六,,,莫中,
13,莫中,2,夢,≆說文曰不明也又武仲切,,,莫中,
13,莫中,3,𨞯,邑名在[魯/曹]郡,,,莫中,
13,莫中,4,懜,慙也國語云君使臣懜,,,莫中,
13,莫中,5,𦫰,𦫰𦫰醜皃,,,莫中,
13,莫中,6,𧲎,獸似豕目在耳出崐崘,,,莫中,
14,去宮,1,穹,髙也去宫切七,,,去宮,
14,去宮,2,𢞏,憂也,,,去宮,
14,去宮,3,焪,乾也,,,去宮,
14,去宮,4,芎,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,,,去宮,
14,去宮,5,𦵡,上同,,,去宮,
14,去宮,6,匑,謹敬之皃,,,去宮,
14,去宮,7,𥳎,𥳎籠也又去龍切,,,去宮,
15,渠弓,1,窮,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三,,,渠弓,
15,渠弓,2,藭,芎藭,,,渠弓,
15,渠弓,3,𥨪,羿所封國,,,渠弓,
16,房戎,1,馮,馮翊郡名又姓畢公髙之伸食采於馮城因而命氏出杜陵乃長樂房戎切七,,,房戎,
16,房戎,2,堸,蟲室,,,房戎,
16,房戎,3,汎,浮也又孚劔切,,,房戎,
16,房戎,4,芃,草盛也又音蓬,,,房戎,
16,房戎,5,𨝭,姬姓之國,,,房戎,
16,房戎,6,渢,𢎞大聲也,,,房戎,
16,房戎,7,梵,木得風皃又防泛切,,,房戎,
17,方戎,1,風,敎也佚也告也聲也河圖曰風者天地之使元命包曰隂陽怒而爲風方戎切七,,,方戎,
17,方戎,2,飌,古文,,,方戎,
17,方戎,3,楓,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝髙三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄,,,方戎,
17,方戎,4,猦,猦[母/𤝕]狀如猿逢人則叩頭小打便死得風還活出異物志,,,方戎,**
17,方戎,5,偑,地名,,,方戎,
17,方戎,6,檒,檒梵聲也,,,方戎,
17,方戎,7,𧆉,竹名出南海,,,方戎,
18,敷空,1,豐,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷[空/隆]切八,,,敷空,
18,敷空,2,酆,邑名亦姓左傳有狄相酆舒,,,敷空,
18,敷空,3,蘴,蕪菁苗也,,,敷空,
18,敷空,4,灃,水名在咸陽,,,敷空,
18,敷空,5,寷,大屋,,,敷空,
18,敷空,6,麷,煑麥,,,敷空,
18,敷空,7,㒥,偓㒥仙人,,,敷空,
18,敷空,8,㠦,山名,,,敷空,
19,昌終,1,充,美也塞也行也滿也昌終切七,,,昌終,
19,昌終,2,珫,珫耳玉名詩傳云充耳謂之瑱字俗從玉,,,昌終,
19,昌終,3,茺,茺蔚草也,,,昌終,
19,昌終,4,㤝,心動,,,昌終,
19,昌終,5,䘪,䘪襌衣也,,,昌終,
19,昌終,6,𪎽,黃色又音統,,,昌終,
19,昌終,7,㳘,水聲,,,昌終,
20,力中,1,隆,盛也豐也大也力中切六,,,力中,
20,力中,2,癃,病也亦作𤸇,,,力中,
20,力中,3,𪔳,鼓聲俗作𪔴,,,力中,
20,力中,4,窿,穹隆天勢俗加穴,,,力中,
20,力中,5,霳,豐隆雷師俗加雨,,,力中,
20,力中,6,㚅,多㚅礼天,,,力中,
21,苦紅,1,空,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四,,,苦紅,
21,苦紅,2,箜,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也,,,苦紅,
21,苦紅,3,崆,崆峒,,,苦紅,
21,苦紅,4,椌,器物朴也又丘江切,,,苦紅,
21,苦紅,5,硿,硿青色[-/石]也,,,苦紅,
21,苦紅,6,䅝,稻稈,,,苦紅,
21,苦紅,7,悾,悾悾信也慤也,,,苦紅,
21,苦紅,8,埪,土埪龕也,,,苦紅,
21,苦紅,9,倥,倥侗,,,苦紅,
21,苦紅,10,涳,涳濛小雨又口江切,,,苦紅,
21,苦紅,11,鵼,怪鳥出字統,,,苦紅,
21,苦紅,12,𦱇,𦱇心草也,,,苦紅,
21,苦紅,13,𢃐,衣袂,,,苦紅,
21,苦紅,14,𧌆,蟬脫𧌆皮,,,苦紅,
22,古紅,1,公,通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何[𦵧/藐]公父歜公賔庚公思展公鉏極公[申/甲]叔子費宰公山弗櫌公甲叔公巫召伯衞有公文要戰國䇿齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公愼氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙録有大中大夫公帥式子夏門人齊人公羊髙作春秋傳列女傳有公乗之姒墨子魯有公輸班衞大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今髙平人衞大夫公南文子魯有公荆皎衞大夫公子荆之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱髙宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後吕氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰别傳有渤海公族進階衞大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世郷秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今髙平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衞有𢈔公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衞有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉丗本有大公叔頴又有公紀氏衞有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三,,,古紅,
22,古紅,2,功,功績也≆說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作功,,,古紅,
22,古紅,3,工,官也又工巧也,,,古紅,
22,古紅,4,疘,文字集略云脱疘下部病也,,,古紅,
22,古紅,5,蚣,蜈蚣蟲,,,古紅,
22,古紅,6,玒,王名又音江,,,古紅,
22,古紅,7,釭,車釭≆說文曰車轂中鐵也又古雙切,,,古紅,
22,古紅,8,魟,䱑魟江蟲形似蟹可食又音烘,,,古紅,
22,古紅,9,攻,攻擊,,,古紅,
22,古紅,10,㓚,銍穫也,,,古紅,
22,古紅,11,愩,憒也,,,古紅,
22,古紅,12,碽,擊聲,,,古紅,
22,古紅,13,篢,篢笠方言,,,古紅,
23,莫紅,1,蒙,覆也奄也爾雅釋草曰蒙王女也莫紅切二十[六/七],,,莫紅,
23,莫紅,2,冡,≆說文覆也,,,莫紅,
23,莫紅,3,濛,涳濛細雨,,,莫紅,
23,莫紅,4,𩦺,驢子曰𩦺,,,莫紅,
23,莫紅,5,艨,艨艟戰船又武用切,,,莫紅,
23,莫紅,6,䑃,大皃,,,莫紅,
23,莫紅,7,矇,矇瞽,,,莫紅,
23,莫紅,8,饛,盛食滿皃,,,莫紅,
23,莫紅,9,䰒,馬垂鬣也,,,莫紅,
23,莫紅,10,檬,似槐[葉/華]黃,,,莫紅,
23,莫紅,11,𨢊,麴生衣皃,,,莫紅,
23,莫紅,12,䴿,上同,,,莫紅,
23,莫紅,13,𨣘,亦上同,,,莫紅,
23,莫紅,14,鸏,鸏䴀鳥也,,,莫紅,
23,莫紅,15,幪,覆也蓋衣也又幪縠,,,莫紅,
23,莫紅,16,罞,爾雅曰麋罟謂之罞,,,莫紅,
23,莫紅,17,𢄐,≆說文云蓋衣也又莫弄切,,,莫紅,
23,莫紅,18,髳,爾雅釋詁曰覭髳茀離也,,,莫紅,
23,莫紅,19,蠓,蠛蠓似蚊又莫孔切,,,莫紅,
23,莫紅,20,𦿏,草可爲帚,,,莫紅,
23,莫紅,21,雺,天氣下地不應曰雺又莫侯切,,,莫紅,
23,莫紅,22,霿,並上同,,,莫紅,
23,莫紅,23,霚,並上同,,,莫紅,
23,莫紅,24,朦,朦朧月下,,,莫紅,
23,莫紅,25,䀄,器滿,,,莫紅,
23,莫紅,26,懜,心悶闇也,,,莫紅,
23,莫紅,27,霥,小雨,,,莫紅,
24,盧紅,1,籠,西京雜記曰漢制天子以象牙爲火籠盧紅切又力董切二十七,,,盧紅,
24,盧紅,2,豅,大谷,,,盧紅,
24,盧紅,3,㰍,≆說文云房室之䟽也亦作櫳,,,盧紅,
24,盧紅,4,朧,朦朧,,,盧紅,
24,盧紅,5,𡃡,大聲,,,盧紅,
24,盧紅,6,龓,[-/馬]龓頭,,,盧紅,
24,盧紅,7,䪊,上同,,,盧紅,
24,盧紅,8,瀧,瀧涷沾漬≆說文曰雨瀧瀧也,,,盧紅,
24,盧紅,9,聾,耳聾左傳云不聽五聲之和曰聾釋名曰聾籠也如在蒙籠之內不可察也,,,盧紅,
24,盧紅,10,𨏠,軸頭,,,盧紅,
24,盧紅,11,礱,磨也,,,盧紅,
24,盧紅,12,䆍,禾病,,,盧紅,
24,盧紅,13,𪚗,上同,,,盧紅,
24,盧紅,14,嚨,喉嚨,,,盧紅,
24,盧紅,15,蘢,蘢古草名又音龍,,,盧紅,
24,盧紅,16,櫳,檻也養獸所也,,,盧紅,
24,盧紅,17,𤮨,上同,,,盧紅,
24,盧紅,18,巃,巃嵸山皃嵸祖紅切又音竉揔,,,盧紅,
24,盧紅,19,襱,襱裙,,,盧紅,
24,盧紅,20,𧙥,上同,,,盧紅,
24,盧紅,21,瓏,玲瓏玉聲,,,盧紅,
24,盧紅,22,曨,日欲出也,,,盧紅,
24,盧紅,23,鸗,鳥名,,,盧紅,
24,盧紅,24,𩟭,𩟭餅,,,盧紅,
24,盧紅,25,蠪,蠪蛭如狐九尾虎爪音如小兒食人一名䗁蠪又爾雅曰蠪朾螘郭璞云赤駁蚍蜉,,,盧紅,
24,盧紅,26,㟅,崆㟅山皃,,,盧紅,
24,盧紅,27,屸,山形,,,盧紅,
25,戸公,1,洪,大也亦姓共工氏之後本姓共氏後改爲洪氏户公切二十二,,,戸公,
25,戸公,2,鉷,弩牙,,,戸公,
25,戸公,3,訌,潰也詩曰蟊賊內訌,,,戸公,
25,戸公,4,紅,色也又姓,,,戸公,
25,戸公,5,虹,螮蝀也又古巷切,,,戸公,
25,戸公,6,仜,身肥大也,,,戸公,
25,戸公,7,鴻,詩傳云大曰鴻小曰鴈又姓左傳衞大夫鴻聊魋,,,戸公,
25,戸公,8,葒,水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從廾,,,戸公,
25,戸公,9,葓,上同,,,戸公,
25,戸公,10,谼,大壑又谼谷寺在相州,,,戸公,
25,戸公,11,䉺,陳赤米也,,,戸公,
25,戸公,12,烘,字林云燎也又呼紅切,,,戸公,
25,戸公,13,洚,≆說文曰水不遵道一曰下也又戸冬下江二切,,,戸公,
25,戸公,14,渱,潰渱水沸湧也,,,戸公,
25,戸公,15,𨹁,從𨹁山名在雲南,,,戸公,
25,戸公,16,魟,魟白魚又音烘,,,戸公,
25,戸公,17,䧆,坑也,,,戸公,
25,戸公,18,䪦,大聲,,,戸公,
25,戸公,19,𦏺,飛聲,,,戸公,
25,戸公,20,䫹,大風,,,戸公,
25,戸公,21,䂫,石聲,,,,
25,戸公,22,𨾊,鳥肥大𨾊唯然,,,戸公,
26,徂紅,1,叢,聚也徂紅切五,,,徂紅,
26,徂紅,2,藂,俗,,,徂紅,
26,徂紅,3,䕺,草䕺生皃,,,徂紅,
26,徂紅,4,潨,水會也,,,徂紅,
26,徂紅,5,𥵫,籠𥵫取魚器俗,,,徂紅,
27,烏紅,1,翁,老稱也亦鳥頸毛又姓漢書貨殖傳有翁伯販脂而傾縣邑烏紅切八,,,烏紅,
27,烏紅,2,螉,蠮螉蟲名細𦝫𧒒也,,,烏紅,
27,烏紅,3,䱵,魚名,,,烏紅,
27,烏紅,4,蓊,蓊鬱草木盛皃又烏桶切,,,烏紅,
27,烏紅,5,䈵,竹盛皃,,,烏紅,
27,烏紅,6,䩺,吳人靴靿曰䩺,,,烏紅,
27,烏紅,7,㮬,水㮬子果名出南州,,,烏紅,
27,烏紅,8,𩔚,頸毛也,,,烏紅,
28,倉紅,1,怱,速也倉紅切十五,,,倉紅,
28,倉紅,2,忩,俗,,,倉紅,
28,倉紅,3,葱,葷菜,,,倉紅,
28,倉紅,4,楤,尖頭擔也,,,倉紅,
28,倉紅,5,𨍉,轞車載囚,,,倉紅,
28,倉紅,6,聦,聞也明也察也聽也殷仲堪父患耳聦聞牀下蟻動謂之牛鬬出晉書,,,倉紅,
28,倉紅,7,繱,色青黃[文/又]細絹,,,倉紅,
28,倉紅,8,𤧚,石似玉也,,,倉紅,
28,倉紅,9,騘,馬青白雜色,,,倉紅,
28,倉紅,10,䗓,蜻蜓淮南子曰蝦蟆爲鶉水蠆爲䗓,,,倉紅,
28,倉紅,11,囪,竈突,,,倉紅,
28,倉紅,12,𨣭,𨣭𨢊濁酒,,,倉紅,
28,倉紅,13,鍯,大鑿平木器,,,倉紅,
28,倉紅,14,㷓,煴也又子孔切,,,倉紅,
28,倉紅,15,𢉛,屋[-/階]中會又子孔切,,,倉紅,
29,他紅,1,通,達也三禮圖曰通天冠一名高山冠上之所服也亦州名本漢宕渠縣內有地萬餘頃因名爲萬州後魏以萬州居四達之路改爲通州又姓出姓苑他紅切九,,,他紅,
29,他紅,2,蓪,蓪草藥名中有小孔通氣,,,他紅,
29,他紅,3,侗,大也,,,他紅,
29,他紅,4,恫,痛也,,,他紅,
29,他紅,5,痌,上同,,,他紅,
29,他紅,6,曈,曈曨欲明之皃,,,他紅,
29,他紅,7,俑,俑偶人又音勇,,,他紅,
29,他紅,8,𧳆,獸名似豕出泰山又音同,,,他紅,
29,他紅,9,𨀜,走皃,,,他紅,
30,子紅,1,葼,木細枝也子紅切二十一,,,子紅,
30,子紅,2,鬷,釜屬又姓左傳鄭大夫鬷明,,,子紅,
30,子紅,3,嵕,九嵕山名,,,子紅,
30,子紅,4,猣,犬生三子,,,子紅,
30,子紅,5,豵,豕生三子,,,子紅,
30,子紅,6,鯼,石首魚名,,,子紅,
30,子紅,7,椶,椶櫚一名蒲葵,,,子紅,
30,子紅,8,騣,馬鬣,,,子紅,
30,子紅,9,𩮀,上同,,,子紅,
30,子紅,10,䗥,螉䗥蟲名,,,子紅,
30,子紅,11,嵸,巃嵸又作孔切,,,子紅,
30,子紅,12,艐,書傳云三艐國名≆說文云船著沙不行也,,,子紅,
30,子紅,13,蝬,三蝬蛤屬出臨海異物志,,,子紅,
30,子紅,14,堫,種也,,,子紅,
30,子紅,15,𥓻,種也,,,子紅,
30,子紅,16,翪,聳翅上[-/下]皃,,,子紅,
30,子紅,17,緵,縷也又作弄切,,,子紅,
30,子紅,18,㚇,飛而斂足又子貢切,,,子紅,
30,子紅,19,㣭,數也,,,子紅,
30,子紅,20,稯,禾束,,,子紅,
30,子紅,21,鬉,毛亂,,,子紅,
31,薄紅,1,蓬,草名亦州名周割巴州之伏虞郡於此置蓬州因蓬山而名之薄紅切十,,,薄紅,
31,薄紅,2,𥭗,車軬,,,薄紅,
31,薄紅,3,篷,織竹夾箬覆舟也,,,薄紅,
31,薄紅,4,髼,髼䯳髪亂皃,,,薄紅,
31,薄紅,5,蜂,蟲名出蒼頡篇又音峯,,,薄紅,
31,薄紅,6,芃,芃芃草盛皃又音馮,,,薄紅,
31,薄紅,7,𧚋,爾雅曰困衱𧚋亦作袶又音降,,,薄紅,
31,薄紅,8,韸,鼓聲,,,薄紅,
31,薄紅,9,䮾,充塞皃又音[龍/瀧],,,薄紅,
31,薄紅,10,𩖛,風皃又步留切,,,薄紅,
32,呼東,1,烘,火皃呼東切又音紅六,,,呼東,
32,呼東,2,叿,叿叿市人聲,,,呼東,
32,呼東,3,魟,河魚似鼈,,,呼東,
32,呼東,4,谾,谷空皃出字林,,,呼東,
32,呼東,5,𩐠,𩐠䪦大聲,,,呼東,
32,呼東,6,𩗄,大風,,,呼東,
33,五東,1,㟅,崆㟅山皃五東切又魚江切一,,,五東,
34,蘇公,1,檧,小籠蘇公切又先孔切三,,,蘇公,
34,蘇公,2,憽,惺憽了慧人也,,,蘇公,
34,蘇公,3,㬝,[㬝/𤾥]㬝白皃出聲譜,,,蘇公,
35,都宗,1,冬,四時之末尸子曰冬爲信北方爲冬冬終也又姓前燕慕容皝左司馬冬壽都宗切七,,,都宗,
35,都宗,2,𠔙,古文,,,都宗,
35,都宗,3,苳,草名,,,都宗,
35,都宗,4,䳉,䳉鳥好入水食似鳧形小,,,都宗,
35,都宗,5,笗,竹名,,,都宗,
35,都宗,6,𩂓,雨皃,,,都宗,
35,都宗,7,𧲴,獸如豹有角,,,都宗,
36,徒冬,1,彤,赤也丹飾也亦姓彤伯爲成王宗[枝/伯]徒冬切二十二,,,徒冬,
36,徒冬,2,疼,痛也,,,徒冬,
