識別號,韻母編碼,十五音字母,韻母序,舒促,國際音標,台語音標,方音符號,白話字,台羅拚音,閩拼
91,嘄舒,嘄,46,舒,ĩãũ,iaunn,ㄧㆯ,iauⁿ,iaunn,niao
92,嘄促,嘄,46,促,ĩãũ?,iauhnn,ㄧㆯㆷ,iauⁿh,iaunnh,niaoh
93,箴舒,箴,47,舒,ɔm,om,ㆱ,om,om,om
94,箴促,箴,47,促,ɔp̚,op,ㆦㆴ,op,op,op
95,爻舒,爻,48,舒,ãũ,aunn,ㆯ,auⁿ,aunn,nao
96,爻促,爻,48,促,,,,,,
97,扛舒,扛,49,舒,õ,onn,ㆧ,oⁿ,onn,noo
98,扛促,扛,49,促,õh,ohnn,ㆧㆷ,oⁿh,onnh,nooh
99,牛舒,牛,50,舒,iũ,iunn,ㄧㆫ,iuⁿ,iunn,niu
100,牛促,牛,50,促,,,,,,
