漢字號,小韻號,漢字,字義解釋
41,2,䴀,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欣期交州記
42,2,挏,引也漢官名有挏馬又音動
43,2,酮,馬酪又音動
44,2,鮦,爾雅云鰹大鮦又直冢直柳二切
45,2,㼿,井甓一云甃也
46,2,𦏆,無角羊
47,2,𦍻,無角羊
48,2,眮,目眶又徒摠切
49,2,蕫,草名又多動切
50,2,穜,穜稑先種後熟謂之穜後種先熟謂之稑又音重
51,2,衕,通街也
52,2,𩍅,靫具飾也
53,2,𢈉,地下應聲
54,2,䆚,通䆚也
55,2,哃,哃𠹔大言
56,2,𢏕,弓飾
57,2,絧,布名
58,2,𨚯,鄉名
59,2,𨝯,地名又姓
60,2,𪔜,鼓聲
61,2,𩦶,黑虎
62,2,𪒿,黑皃
63,3,中,平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四
64,3,衷,善也正也適也中也又衷衣褻衣也
65,3,忠,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州
66,3,𦬕,草名又音沖
67,4,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七
68,4,沖,和也深也
69,4,种,稚也或作沖亦姓後漢司徒河南种暠
70,4,盅,器虛也又敕中切
71,4,爞,爾雅云爞爞炎炎熏也
72,4,𦬕,草名又音中
73,4,翀,直上飛也
74,5,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五
75,5,眾,又之仲切
76,5,潀,小水入大水又徂紅在冬二切
77,5,𣧩,歿也
78,5,螽,螽斯蟲也
79,5,𧑄,螽斯蟲也
80,5,鼨,豹文鼠也
81,5,蔠,蔠葵蘩露也
82,5,柊,木名又齊人謂椎爲柊楑也
83,5,𩅧,小雨
84,5,䶱,字書云龜名也
85,5,鴤,鳥名
86,5,䈺,篋䈺戎人呼之
87,5,泈,水名在襄陽
88,5,䝦,獸如豹
89,6,忡,憂也敕中切三
90,6,浺,浺瀜水平遠之皃又音蟲
91,6,盅,器虛也又音蟲
92,7,崇,高也敬也就也聚也又姓鋤弓切四
93,7,崈,高也敬也就也聚也又姓鋤弓切四
94,7,㓽,鍤屬
95,7,𩞉,饞𩞉貪食也出古今字音
96,8,嵩,山高也又山名又姓史記有嵩極玄子或作崧息弓切九
97,8,崧,山高也又山名又姓史記有嵩極玄子或作崧息弓切九
98,8,𪀚,似鷹而小能捕雀也
99,8,娀,有娀氏女簡狄帝嚳次妃吞乙卵生契
100,8,菘,菜名
101,8,硹,地名在遼
102,8,㣝,姓也
103,8,𧊕,蟲名
104,8,䯷,細毛
105,9,戎,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九
106,9,𢦦,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九
107,9,茙,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也
108,9,㭜,木名
109,9,駥,馬八尺也
110,9,𥬪,小竹可爲矢
111,9,𠈋,𠈋人身有三角也
112,9,狨,細布
113,9,絨,細布
114,10,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六
115,10,躳,身也親也又姓出姓苑
116,10,躬,身也親也又姓出姓苑
117,10,㴦,縣名在酒泉
118,10,宮,白虎通曰黃帝作宮室以避寒暑宮之言中也世本曰禹作宮亦官名漢書曰少府官有守宮令主御筆墨紙封書泥也又姓左傳虞有宮之奇
119,10,匑,謹敬之皃又音穹
120,11,融,和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四
121,11,肜,祭名又敕林切
122,11,瀜,沖瀜大水皃
123,12,雄,雄雌也亦姓舜友有雄陶羽弓切二
124,12,熊,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊宜僚又漢複姓左傳楚大夫熊率且比
125,13,瞢,目不明莫中切六
126,13,夢,說文曰不明也又武仲切
127,13,鄸,邑名在曹郡
128,13,懜,慙也國語云君使臣懜
129,13,𦫰,𦫰𦫰醜皃
130,13,𧲎,獸似豕目在耳出崐崘
131,14,穹,高也去宮切七
132,14,𢞏,憂也
133,14,焪,乾也
134,14,芎,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀
135,14,𦵡,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀
136,14,匑,謹敬之皃
137,14,𥳎,𥳎籠也又去龍切
138,15,窮,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三
139,15,藭,芎藭
140,15,𥨪,羿所封國
141,16,馮,馮翊郡名又姓畢公高之伸食采於馮城因而命氏出杜陵乃長樂房戎切七
142,16,堸,蟲室
143,16,汎,浮也又孚劒切
144,16,芃,草盛也又音蓬
145,16,𨝭,姬姓之國
146,16,渢,弘大聲也
147,16,梵,木得風皃又防泛切
148,17,風,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七
149,17,飌,古文
150,17,楓,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝高三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄
151,17,猦,猦母狀如猿逢人則叩頭小打便死得風還活出異物志
152,17,偑,地名
153,17,檒,檒梵聲也
154,17,𧆉,竹名出南海
155,18,豐,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷空切八
156,18,酆,邑名亦姓左傳有狄相酆舒
157,18,蘴,蕪菁苗也
158,18,灃,水名在咸陽
159,18,寷,大屋
160,18,麷,煑麥
161,18,㒥,偓㒥仙人
162,18,㠦,山名
163,19,充,美也塞也行也滿也昌終切七
164,19,珫,珫耳玉名詩傳云充耳謂之瑱字俗從玉
165,19,茺,茺蔚草也
166,19,㤝,心動
167,19,䘪,䘪襌衣也
168,19,𪎽,黃色又音統
169,19,㳘,水聲
170,20,隆,盛也豐也大也力中切六
171,20,癃,病也亦作𤸇
172,20,𪔳,鼓聲俗作𪔴
173,20,窿,穹隆天勢俗加穴
174,20,霳,豐隆雷師俗加雨
175,20,㚅,多㚅礼天
176,21,空,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四
177,21,箜,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也
178,21,崆,崆峒
179,21,椌,器物朴也又丘江切
180,21,硿,硿青色石也
181,21,䅝,稻稈
182,21,悾,悾悾信也愨也
183,21,埪,土埪龕也
184,21,倥,倥侗
185,21,涳,涳濛小雨又口江切
186,21,鵼,怪鳥出字統
187,21,𦱇,𦱇心草也
188,21,𢃐,衣袂
189,21,𧌆,蟬脫𧌆皮
190,22,公,通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何藐公父歜公賓庚公思展公鉏極公甲叔子費宰公山弗櫌公甲叔公巫召伯衛有公文要戰國策齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公慎氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙錄有大中大夫公帥式子夏門人齊人公羊高作春秋傳列女傳有公乘之姒墨子魯有公輸班衛大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今高平人衛大夫公南文子魯有公荊皎衛大夫公子荊之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱高宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後呂氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰別傳有渤海公族進階衛大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世鄉秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今高平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衛有庾公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衛有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉世本有大公叔穎又有公紀氏衛有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三
191,22,功,功績也說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作㓛
192,22,工,官也又工巧也
193,22,疘,文字集略云脫疘下部病也
194,22,蚣,蜈蚣蟲
195,22,玒,王名又音江
196,22,釭,車釭說文曰車轂中鐵也又古雙切
197,22,魟,䱑魟江蟲形似蟹可食又音烘
198,22,攻,攻擊
199,22,㓚,銍穫也
200,22,愩,憒也
201,22,碽,擊聲
202,22,篢,篢笠方言
203,23,蒙,覆也奄也爾雅釋草曰蒙王女也莫紅切二十七
204,23,冡,說文覆也
205,23,濛,涳濛細雨
206,23,𩦺,驢子曰𩦺
207,23,艨,艨艟戰船又武用切
208,23,䑃,大皃
209,23,矇,矇瞽
210,23,饛,盛食滿皃
211,23,䰒,馬垂鬣也
212,23,檬,似槐華黃
213,23,𨢊,麴生衣皃
214,23,䴿,麴生衣皃
215,23,𨣘,亦上同
216,23,鸏,鸏䴀鳥也
217,23,幪,覆也蓋衣也又幪縠
218,23,罞,爾雅曰麋罟謂之罞
219,23,𢄐,說文云蓋衣也又莫弄切
220,23,髳,爾雅釋詁曰覭髳茀離也
221,23,蠓,蠛蠓似蚊又莫孔切
222,23,𦿏,草可爲帚
223,23,雺,天氣下地不應曰雺又莫侯切
224,23,霿,
225,23,霚,並上同
226,23,朦,朦朧月下
227,23,䀄,器滿
228,23,懜,心悶闇也
229,23,靀,小雨
230,24,籠,西京雜記曰漢制天子以象牙爲火籠盧紅切又力董切二十七
231,24,豅,大谷
232,24,㰍,說文云房室之疏也亦作櫳
233,24,朧,朦朧
234,24,𡃡,大聲
235,24,龓,馬龓頭
236,24,䪊,馬龓頭
237,24,瀧,瀧涷沾漬說文曰雨瀧瀧也
238,24,聾,耳聾左傳云不聽五聲之和曰聾釋名曰聾籠也如在蒙籠之內不可察也
239,24,𨏠,軸頭
240,24,礱,磨也
241,24,䆍,禾病
242,24,𪚗,禾病
243,24,嚨,喉嚨
244,24,蘢,蘢古草名又音龍
245,24,櫳,檻也養獸所也
246,24,𤮨,字書云築土𤮨穀
247,24,巃,巃嵸山皃嵸祖紅切又音竉摠
248,24,襱,襱裙
249,24,𧙥,襱裙
250,24,瓏,玲瓏玉聲
251,24,曨,日欲出也
252,24,鸗,鳥名
253,24,𩟭,𩟭餅
254,24,蠪,蠪蛭如狐九尾虎爪音如小兒食人一名䗁蠪又爾雅曰蠪朾螘郭璞云赤駁蚍蜉
255,24,㟅,崆㟅山皃
256,24,屸,山形
257,25,洪,大也亦姓共工氏之後本姓共氏後改爲洪氏戶公切二十二
258,25,鉷,弩牙
259,25,訌,潰也詩曰蟊賊內訌
260,25,紅,色也又姓
261,25,虹,螮蝀也又古巷切
262,25,仜,身肥大也
263,25,鴻,詩傳云大曰鴻小曰鴈又姓左傳衛大夫鴻聊魋
264,25,葒,水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從艹
265,25,葓,水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從艹
266,25,谼,大壑又谼谷寺在相州
267,25,䉺,陳赤米也
268,25,烘,字林云燎也又呼紅切
269,25,洚,說文曰水不遵道一曰下也又戶冬下江二切
270,25,渱,潰渱水沸湧也
271,25,𨹁,從𨹁山名在雲南
272,25,魟,魟白魚又音烘
273,25,䧆,坑也
274,25,䪦,大聲
275,25,𦏺,飛聲
276,25,䫹,大風
277,25,𨾊,鳥肥大𨾊唯然
278,25,䂫,石聲
279,26,叢,聚也徂紅切五
280,26,藂,俗
281,26,䕺,草䕺生皃
282,26,潀,水會也
283,26,𥵫,籠𥵫取魚器俗
284,27,翁,老稱也亦鳥頸毛又姓漢書貨殖傳有翁伯販脂而傾縣邑烏紅切八
285,27,螉,蠮螉蟲名細𦝫𧒒也
286,27,䱵,魚名
287,27,蓊,蓊鬱草木盛皃又烏桶切
288,27,䈵,竹盛皃
289,27,䩺,吳人靴靿曰䩺
290,27,㮬,水㮬子果名出南州
291,27,𩔚,頸毛也
292,28,悤,速也倉紅切十五
293,28,忩,俗
294,28,蔥,葷菜
295,28,樬,尖頭擔也
296,28,䡯,轞車載囚
297,28,聰,聞也明也察也聽也殷仲堪父患耳聰聞牀下蟻動謂之牛鬬出晉書
298,28,𦇎,色青黃又細絹
299,28,璁,石似玉也
300,28,驄,馬青白雜色
301,28,蟌,蜻蜓淮南子曰蝦蟆爲鶉水蠆爲蟌
302,28,囪,竈突
303,28,𨣼,𨣼𨢊濁酒
304,28,鏓,大鑿平木器
305,28,熜,熅也又子孔切
306,28,𢊕,屋階中會又子孔切
307,29,通,達也三禮圖曰通天冠一名高山冠上之所服也亦州名本漢宕渠縣內有地萬餘頃因名爲萬州後魏以萬州居四達之路改爲通州又姓出姓苑他紅切九
308,29,蓪,蓪草藥名中有小孔通氣
309,29,侗,大也
310,29,恫,痛也
311,29,痌,痛也
312,29,曈,曈曨欲明之皃
313,29,俑,俑偶人又音勇
314,29,𧳆,獸名似豕出泰山又音同
315,29,𨀜,走皃
316,30,葼,木細枝也子紅切二十一
317,30,鬷,釜屬又姓左傳鄭大夫鬷明
318,30,嵕,九嵕山名
319,30,猣,犬生三子
320,30,豵,豕生三子
321,30,鯼,石首魚名
322,30,椶,椶櫚一名蒲葵
323,30,騣,馬鬣
324,30,𩮰,馬鬣
325,30,䗥,螉䗥蟲名
326,30,嵸,巃嵸又作孔切
327,30,艐,書傳云三艐國名說文云船著沙不行也
328,30,蝬,三蝬蛤屬出臨海異物志
329,30,堫,種也
330,30,𥓻,石也
331,30,翪,聳翅上下皃
332,30,緵,縷也又作弄切
333,30,㚇,飛而斂足又子貢切
334,30,㣭,數也
335,30,稯,禾束
336,30,鬉,毛亂
337,31,蓬,草名亦州名周割巴州之伏虞郡於此置蓬州因蓬山而名之薄紅切十
338,31,𥭗,車軬
339,31,篷,織竹夾箬覆舟也
340,31,髼,髼䯳髮亂皃
341,31,蜂,蟲名出蒼頡篇又音峯
342,31,芃,芃芃草盛皃又音馮
343,31,𧚋,爾雅曰困衱𧚋亦作袶又音降
344,31,韸,鼓聲
345,31,䮾,充塞皃又音龍瀧
346,31,𩖛,風皃又步留切
347,32,烘,火皃呼東切又音紅六
348,32,叿,叿叿市人聲
349,32,魟,河魚似鼈
350,32,谾,谷空皃出字林
351,32,𩐠,𩐠䪦大聲
352,32,𩗄,大風
353,33,㟅,崆㟅山皃五東切又魚江切一
354,34,𣞷,小籠蘇公切又先孔切三
355,34,𢤄,惺𢤄了慧人也
356,34,㬝,白皃出聲譜
357,35,冬,四時之末尸子曰冬爲信北方爲冬冬終也又姓前燕慕容皝左司馬冬壽都宗切七
358,35,𠔙,古文
359,35,苳,草名
360,35,鴤,鴤鳥好入水食似鳧形小
361,35,笗,竹名
362,35,𩂓,雨皃
363,35,𧲴,獸如豹有角
364,36,彤,赤也丹飾也亦姓彤伯爲成王宗伯徒冬切二十二
365,36,疼,痛也
366,36,佟,姓也北燕錄有遼東佟萬以文章知名
367,36,炵,火盛皃又他冬切
368,36,䳋,鳥名䳋渠狀如山雞黑身赤足出山海經也
369,36,鼕,鼓聲
370,36,𢥞,𢥞𢥞憂也出楚詞
371,36,𢾮,擊空聲
372,36,爞,旱熱
373,36,㤏,惶也
374,36,痋,動病
375,36,䂈,剌矛
376,36,鉵,大鉏
377,36,𧹝,赤色
378,36,𩦶,黑虎
379,36,浵,水名亦水皃
380,36,䶱,龜名又音終
381,36,𠩁,楚云深屋
382,36,鉖,鈞鉖
383,36,𨜳,古國名
384,36,㠽,戎云幡也
385,36,赨,赤蟲
386,37,賨,戎稅說文曰南蠻賦也藏宗切十一
387,37,琮,說文云琮瑞玉大八寸似車釭周禮曰以黃琮禮地
388,37,悰,慮也一曰樂也
389,37,潀,小水入大水也又徂紅職戎二切
390,37,淙,水聲又士江切
391,37,慒,謀也又似由切
392,37,鬃,高髻又士江切
393,37,㼻,甖屬又士江切
394,37,孮,爲族盛孮鄉
395,37,誴,謀誴樂也
396,37,𢃏,帛𢃏又布名
397,38,農,田農也說文作農耕也亦官名漢書曰治粟內史秦官也景帝更名大司農又姓風俗通云神農之後又羌複姓有蘇農氏奴冬切十二
398,38,䢉,田農也說文作農耕也亦官名漢書曰治粟內史秦官也景帝更名大司農又姓風俗通云神農之後又羌複姓有蘇農氏奴冬切十二
399,38,辳,古文
400,38,𨑋,籀文
401,38,𩟊,䭢𩟊強食䭢女耕切
402,38,噥,多言不中
403,38,𩅽,露多
404,38,憹,㦀憹悅也
405,38,㺜,多毛犬也又乃刀切
406,38,儂,我也
407,38,𧗕,說文曰腫血也
408,38,膿,說文曰腫血也
409,39,攻,治也作也擊也伐也古冬切二
410,39,釭,燈也又音江
411,40,䃔,䃔䃧石落聲戶冬切四
412,40,洚,說文曰水不遵道一曰下也孟子曰洚水警子
413,40,㗢,歌也又胡宋徒送二切
414,40,𩘎,大風
415,41,䃧,力冬切三
416,41,𪔢,鼓聲
417,41,𣫣,聲也
418,42,宗,眾也本也尊也亦官名漢書宗正秦官也掌親屬亦姓周鄉宗伯之後出南陽又漢複姓二氏前漢有宗伯鳳南燕錄有宗正謙善卜相作冬切二
419,42,倧,上古神人
420,43,鬆,髼鬆髮亂皃私宗切三
421,43,䯳,髼鬆髮亂皃私宗切三
422,44,炵,火色他冬切一
423,45,鍾,當也酒器也又量名左傳曰釜十則鍾亦姓出潁川又漢複姓有鍾離氏世本云與秦同祖其後因封爲姓職容切十八
424,45,鐘,樂器也呂氏春秋云黃帝命伶倫鑄寸二器世本曰垂作鐘
425,45,蚣,䘀螽蟲
426,45,忪,心動皃
427,45,䇗,長節竹也
428,45,蹱,躘蹱小兒行皃
429,45,彸,征彸行皃
430,45,衳,小褌也
431,45,伀,志及眾也
432,45,橦,字㨾云本音同今借爲木橦字
433,45,籦,籠籦竹名廣志云可爲笛
434,45,妐,夫之兄也
435,45,㕬,眾口也
436,45,𧢸,舉角也
437,45,炂,熱化也
438,45,𦬘,草名
439,45,𨳗,門外開𨳗
440,45,鈆,鐵鈆
441,46,龍,通也和也寵也鱗蟲之長也易曰雲從龍又姓舜納言龍之後力鍾切九
442,46,𪚝,圭爲龍文
443,46,躘,躘蹱
444,46,鸗,鳥名
445,46,驡,野馬
446,46,𪚠,巫也
447,46,籠,𥳎籠竹車軬亦籦籠竹又力東力董二切
448,46,𦪽,小船上安蓋者
449,46,蘢,蘢古草
450,47,舂,世本曰雍父作舂呂氏春秋曰赤冀作舂書容切六
451,47,𧐍,蜙蝑俗呼𧐍𧑓
452,47,摏,撞也
453,47,蹖,蹋也
454,47,𪄻,𪇆𪄻鳥名
455,47,憃,愚也
456,48,松,木名玄中記曰松脂淪入地千歲爲茯苓亦州名舜竄三苗於三危河關之西南羌是也後魏末始統其城改置州焉祥容切四
457,48,㮤,古文
458,48,凇,凍落皃又先恭切
459,48,訟,爭獄又徐用切
460,49,𧘂,當也向也突也說文曰通道也尺容切十一
461,49,衝,當也向也突也說文曰通道也尺容切十一
462,49,罿,網也又音童
463,49,憧,憧憧往來皃
464,49,䡴,陷陣車
465,49,艟,艨艟戰船
466,49,潼,河潼又音同
467,49,褈,褈褣衣也
468,49,𠟍,剌也
469,49,𠝤,同上
470,49,䂌,短矛也
471,50,容,盛也儀也受也爾雅曰容謂之防郭璞云形如今牀頭小曲屏風唱䠶者所以自防隱司馬法云軍容不入國國容不入軍是也又州名又姓入凱仲容之後禮記有徐大夫容居餘封切三十五
472,50,溶,水皃又音勇
473,50,滽,水名出宜蘇山
474,50,庸,常也用也功也和也次也易也又姓漢有庸光
475,50,𦤘,古文
476,50,𧴄,獸似牛領有肉也
477,50,㺎,
478,50,𤛑,並上同
479,50,墉,城也垣也
480,50,鎔,鎔鑄
481,50,鏞,大鐘
482,50,銿,上同說文與鐘同
483,50,鄘,國名
484,50,傭,傭賃又丑凶切
485,50,𪅟,𪅟𪆫鳥名似鴨雞足也
486,50,㼸,甖也
487,50,𤮇,同上
488,50,鱅,魚名又音慵
489,50,蓉,芙蓉
490,50,䗤,𧌁䗤色如黃蛇有羽
491,50,傛,傛華縣也又漢書婦官有傛華
492,50,褣,𧝎褣
493,50,搈,不安
494,50,瑢,瑽瑢佩玉行也
495,50,䈶,䈶䇯又矢
496,50,嵱,山名在容州山下有鬼市
497,50,頌,形頌又似用切
498,50,㝐,㝐盛也說文云古文容
499,50,䡆,車行皃
500,50,㟾,㟾山在建州
501,50,𨲟,餝𨲟
502,50,𪃾,𪃾鸀
503,50,槦,㮧槦木中箭笴
504,50,㣑,重影一曰形㣑
505,50,𢧳,𢧳戣兵器
506,51,封,大也國也厚也爵也亦姓望出渤海本姜姓炎帝之後封鉅爲黃帝師又望出河南後魏官氏志云是賁氏後改爲封氏府容切五
507,51,𡉚,古文
508,51,犎,野牛
509,51,葑,菜名詩云采葑采菲
510,51,崶,山名一名龍門山在封州大魚上化爲龍上不得點額流血水謂丹色也
511,52,胷,膺也亦作匈𦙄許容切十
512,52,凶,凶禍
513,52,𣧑,古文
514,52,銎,懼也又斤斧柄孔又曲恭切
515,52,洶,水勢也
516,52,恟,懼也
517,52,𧧗,訟也
518,52,兇,惡也
519,52,訩,眾語
520,52,匈,匈奴
521,53,顒,仰也爾雅云顒顒邛邛君之德也說文云大頭也魚容切四
522,53,𩤛,上同見廣蒼
523,53,鰅,魚名說文曰皮有文出樂浪又音隅
524,53,喁,噞喁
525,54,邕,說文曰四方有水自邕成池者是也於容切十六
526,54,雍,和也與邕略同又雍奴縣名在幽州水經云四方有水曰雍不流曰奴亦姓左傳有雍糾又於用切
527,54,噰,鳥聲
528,54,嗈,鳥聲
529,54,郺,郺𨑊多皃
530,54,澭,水名在宋
531,54,灉,上同爾雅曰水自河出爲灉
532,54,癰,癰癤
533,54,罋,汲器
534,54,廱,辟廱天子教宮
535,54,饔,熟食
536,54,壅,塞又音擁
537,54,雝,爾雅曰䳭鴒雝渠
538,54,𪄉,爾雅曰䳭鴒雝渠
539,54,㻾,玉器
540,54,𧴗,獸似猨也
541,55,醲,厚酒女容切八
542,55,𨑊,郺𨑊
543,55,濃,厚也
544,55,襛,襛華又衣厚皃又而容切
545,55,穠,花木厚又而容切
546,55,檂,木名
547,55,𪒬,𪒒𪒬
548,55,𨲳,多也
549,56,重,複也曡也直容切又直勇直用二切六
550,56,穜,先種晚熟曰穜
551,56,緟,說文云增益也
552,56,褈,複也
553,56,䳯,䳯𪄹鳥名
554,56,蝩,蠶晚生者
555,57,從,就也又姓漢有將軍從公何氏姓苑云今東莞人疾容切又即容七恭秦用三切三
556,57,从,古文說文曰相聽也
557,57,𩀰,方言云南楚人謂雞
558,58,蹱,躘蹱丑凶切七
559,58,傭,均也直也又音容
560,58,𦟛,均也直也又音容
561,58,𨙔,馬不行也
562,58,䝑,土精如㹠在地下也
563,58,𨤩,地名又直容切
564,58,𪒒,深穴中𪒒黑也
565,59,逢,值也迎也符容切八
566,59,縫,紩又音俸
567,59,漨,水名
568,59,䩼,鼓聲
569,59,𥎌,𥎌𥎂矛也
570,59,夆,掣曳也又敷恭切
571,59,𥛝,大黃負山神能動天地氣昔孔甲遇之
572,59,捀,說文曰奉也又符用切
573,60,峯,山峯也敷容切十六
574,60,鋒,劒刃鋒也
575,60,丰,丰茸美好說文本作𡴀草盛𡴀也從生上下達也
576,60,𡴀,丰茸美好說文本作𡴀草盛𡴀也從生上下達也
577,60,𢓱,使也
578,60,妦,好也
579,60,蠭,說文曰螫人飛蟲也孝經援神契曰蠭䘍垂芒爲其毒在後
580,60,蜂,說文曰螫人飛蟲也孝經援神契曰蠭䘍垂芒爲其毒在後
