識別號,上字表識別號,下字表識別號,切語,拼音,小韻字,目次編碼,小韻字序號,小韻字集,字數,聲母,聲母拼音碼,發音部位,清濁,發送收,韻母,韻母拼音碼,調,調號,備註,原有備註,異體字,其它備註,
17,5,5,方戎,hiong1,風,1.01東,17,風飌楓猦偑檒𧆉,8,非,h,輕脣音,全清,發聲,東開3舒聲,iong,平,1,,,瘋,,
18,6,1,敷空,hong1,豐,1.01東,18,豐酆蘴灃寷麷㒥㠦,8,敷,h,輕脣音,次清,送氣,東開1舒聲,ong,平,1,,,,,
19,29,5,昌終,chiong1,充,1.01東,19,充珫茺㤝䘪𪎽㳘,8,昌,ch,正齒近舌上,次清,送氣,東開3舒聲,iong,平,1,,,,,
20,41,5,力中,liong5,隆,1.01東,20,隆癃𪔳窿霳㚅,7,來,l,半舌,次濁,收聲,東開3舒聲,iong,平,5,,,,,
21,18,1,苦紅,khong1,空,1.01東,21,空箜崆椌硿䅝悾埪倥涳鵼𦱇𢃐𧌆,17,溪,kh,牙音,次清,送氣,東開1舒聲,ong,平,1,,,,,
22,17,1,古紅,kong1,公,1.01東,22,公功工疘蚣玒釭魟攻㓚愩碽篢,13,見,k,牙音,全清,發聲,東開1舒聲,ong,平,1,,,,,
23,4,1,莫紅,bong5,蒙,1.01東,23,蒙冡濛𩦺艨䑃矇饛䰒檬𨢊䴿𨣘鸏幪罞𢄐髳蠓𦿏雺霿霚朦䀄懜霥,32,明,b,重脣音,次濁,收聲,東開1舒聲,ong,平,5,,,[礞],,
24,41,1,盧紅,long5,籠,1.01東,24,籠豅㰍朧𡃡龓䪊瀧聾𨏠礱䆍𪚗嚨蘢櫳𤮨巃襱𧙥瓏曨鸗𩟭蠪㟅屸,33,來,l,半舌,次濁,收聲,東開1舒聲,ong,平,5,,,,,
25,38,1,戸公,hong5,洪,1.01東,25,洪鉷訌紅虹仜鴻葒葓谼䉺烘洚渱𨹁魟䧆䪦𦏺䫹𨾊䂫,25,匣,h,喉音,全濁,送氣,東開1舒聲,ong,平,5,,,䫹=峰,戸 改 戶,
26,23,1,徂紅,cong5,叢,1.01東,26,叢藂䕺潨𥵫,6,從,c,齒頭音,全濁,,東開1舒聲,ong,平,5,,,,,
27,36,1,烏紅,Øong1,翁,1.01東,27,翁螉䱵蓊䈵䩺㮬𩔚,9,影,Ø,喉音,全清,發聲,東開1舒聲,ong,平,1,,,,,
28,22,1,倉紅,chong1,怱,1.01東,28,怱忩葱楤𨍉聦繱𤧚騘䗓囪𨣭鍯㷓𢉛,19,清,ch,齒頭音,次清,送氣,東開1舒聲,ong,平,1,,,匆蔥樬䡯聰𦇎璁驄蟌𨣼鏓熜𢊕,,
29,10,1,他紅,thong1,通,1.01東,29,通蓪侗恫痌曈俑𧳆𨀜,11,透,th,舌頭音,次清,送氣,東開1舒聲,ong,平,1,,,,,
30,21,1,子紅,cong1,葼,1.01東,30,葼鬷嵕猣豵鯼椶騣𩮀䗥嵸艐蝬堫𥓻翪緵㚇㣭稯鬉,23,精,c,齒頭音,全清,發聲,東開1舒聲,ong,平,1,,,{𩮀/鬃}{椶/棕},,
31,3,1,薄紅,pong5,蓬,1.01東,31,蓬𥭗篷髼蜂芃𧚋韸䮾𩖛,13,並,p,重脣音,全濁,,東開1舒聲,ong,平,5,,,,,
32,37,1,呼東,hong1,烘,1.01東,32,烘叿魟谾𩐠𩗄,8,曉,h,喉音,次清,送氣,東開1舒聲,ong,平,1,,,,,
33,20,1,五東,gong5,㟅,1.01東,33,㟅,1,疑,g,牙音,次濁,收聲,東開1舒聲,ong,平,5,,,,,
34,24,1,蘇公,song1,檧,1.01東,34,檧憽㬝,3,心,s,齒頭音,全清,送氣,東開1舒聲,ong,平,1,,,[憽/忪],,
35,9,9,都宗,tong1,冬,1.02冬,1,冬𠔙苳䳉笗𩂓𧲴,10,端,t,舌頭音,全清,發聲,冬開1舒聲,ong,平,1,,,,,
36,11,9,徒冬,tong5,彤,1.02冬,2,彤疼佟炵䳋鼕𢥞𢾮爞㤏痋䂈鉵𧹝𩦶浵䶱𠩁鉖𨜳㠽赨,28,定,t,舌頭音,全濁,,冬開1舒聲,ong,平,5,,,,,
37,23,9,藏宗,cong5,賨,1.02冬,3,賨琮悰潨淙慒鬃㼻孮誴𢃏,12,從,c,齒頭音,全濁,,冬開1舒聲,ong,平,5,,,,,
38,12,9,奴冬,long5,農,1.02冬,4,農䢉辳𨑋𩟊噥𩅽憹㺜儂𧗕膿,16,泥,l,舌頭音,次濁,收聲,冬開1舒聲,ong,平,5,,,,,
39,17,9,古冬,kong1,攻,1.02冬,5,攻釭,2,見,k,牙音,全清,發聲,冬開1舒聲,ong,平,1,,,,,
40,38,9,戸冬,hong5,䃔,1.02冬,6,䃔洚㗢𩘎,5,匣,h,喉音,全濁,送氣,冬開1舒聲,ong,平,5,,,,,
41,41,9,力冬,long5,䃧,1.02冬,7,䃧䥢𣫣,4,來,l,半舌,次濁,收聲,冬開1舒聲,ong,平,5,,,,,
42,21,9,作冬,cong1,宗,1.02冬,8,宗倧,2,精,c,齒頭音,全清,發聲,冬開1舒聲,ong,平,1,,,,,
43,24,9,私宗,song1,鬆,1.02冬,9,鬆䯳,2,心,s,齒頭音,全清,送氣,冬開1舒聲,ong,平,1,,,,,
44,10,9,他冬,thong1,炵,1.02冬,10,炵,1,透,th,舌頭音,次清,送氣,冬開1舒聲,ong,平,1,,,,,
45,27,13,職容,ciong1,鍾,1.03鍾,1,鍾鐘蚣忪䇗蹱彸衳伀橦籦妐㕬𧢸炂𦬘𨳗鈆,21,章,c,正齒近舌上,全清,發聲,鍾開3舒聲,iong,平,1,,,,,
46,41,13,力鍾,liong5,龍,1.03鍾,2,龍𪚝躘鸗驡𪚠籠𦪽蘢,12,來,l,半舌,次濁,收聲,鍾開3舒聲,iong,平,5,,,,,
47,33,13,書容,siong1,舂,1.03鍾,3,舂𧐍摏蹖𪄻憃,8,書,s,正齒近舌上,全清,送氣,鍾開3舒聲,iong,平,1,,,,,
48,25,13,祥容,siong5,松,1.03鍾,4,松㮤淞訟,4,邪,s,齒頭音,全濁,送氣,鍾開3舒聲,iong,平,5,,,,,
49,29,13,尺容,chiong1,𧘂,1.03鍾,5,𧘂衝罿憧䡴艟潼褈𠟍𠝤䂌,14,昌,ch,正齒近舌上,次清,送氣,鍾開3舒聲,iong,平,1,,,,,
50,39,13,餘封,Øiong5,容,1.03鍾,6,容溶滽庸𦤘𧴄㺎𤛑墉鎔鏞銿鄘傭𪅟㼸𤮇鱅蓉䗤傛褣搈瑢䈶嵱頌㝐䡆㟾𨲟𪃾槦㣑𢧳,43,以,Ø,喉音,次濁,發聲,鍾開3舒聲,iong,平,5,,,,,
51,5,13,府容,hiong1,封,1.03鍾,7,封𡉚犎葑崶,6,非,h,輕脣音,全清,發聲,鍾開3舒聲,iong,平,1,,,篈㜂,,
52,37,13,許容,hiong1,胷,1.03鍾,8,胷凶𣧑銎洶恟𧧗兇訩匈,12,曉,h,喉音,次清,送氣,鍾開3舒聲,iong,平,1,,,[胷/胸],,
53,20,13,魚容,giong5,顒,1.03鍾,9,顒𩤛鰅喁,5,疑,g,牙音,次濁,收聲,鍾開3舒聲,iong,平,5,,,,,
54,36,13,於容,Øiong1,邕,1.03鍾,10,邕雍噰嗈郺澭灉癰罋廱饔壅雝𪄉㻾𧴗,18,影,Ø,喉音,全清,發聲,鍾開3舒聲,iong,平,1,,,蕹,,
55,16,13,女容,liong5,醲,1.03鍾,11,醲𨑊濃襛穠檂𪒬𨲳,11,娘,l,舌上音,次濁,收聲,鍾開3舒聲,iong,平,5,,,㺜,,
56,15,13,直容,tiong5,重,1.03鍾,12,重穜緟褈䳯蝩,6,澄,t,舌上音,全濁,,鍾開3舒聲,iong,平,5,,,,,
57,23,13,疾容,ciong5,從,1.03鍾,13,從从𩀰,4,從,c,齒頭音,全濁,,鍾開3舒聲,iong,平,5,,,,,
58,14,13,丑凶,thiong1,蹱,1.03鍾,14,蹱傭𦟛𨙦䝑𨤩𪒒,11,徹,th,舌上音,次清,送氣,鍾開3舒聲,iong,平,1,,,,,
59,7,13,符容,hiong5,逢,1.03鍾,15,逢縫漨䩼𥎌夆𥛝捀,10,奉,h,輕脣音,全濁,,鍾開3舒聲,iong,平,5,,,,,
60,6,13,敷容,hiong1,峯,1.03鍾,16,峯鋒丰𡴀𢓱妦蠭蜂𧒒蘴桻㷭烽莑仹㸼,19,敷,h,輕脣音,次清,送氣,鍾開3舒聲,iong,平,1,,,[峯/峰],,
61,21,13,即容,ciong1,縱,1.03鍾,17,縱𣯨蹤䡮樅磫豵熧𧺣,11,精,c,齒頭音,全清,發聲,鍾開3舒聲,iong,平,1,,,,,
62,42,13,而容,jiong5,茸,1.03鍾,18,茸䩸髶䇯襛穠搑𥎂榵穁,11,日,j,半齒,次濁,收聲,鍾開3舒聲,iong,平,5,,,,,
63,19,13,渠容,kiong5,蛩,1.03鍾,19,蛩邛舼𦨰筇輁𦭭𥳎䂬蛬𠌖𩬰桏䅃𤤶𩢽,23,群,k,牙音,全濁,,鍾開3舒聲,iong,平,5,,,,,
64,34,13,蜀庸,siong5,鱅,1.03鍾,20,鱅慵𩌨,4,禪,s,正齒近齒頭,全濁,送氣,鍾開3舒聲,iong,平,5,,,,,
65,17,13,九容,kiong1,恭,1.03鍾,21,恭龔供珙䢼共𤱨廾髸䳍,11,見,k,牙音,全清,發聲,鍾開3舒聲,iong,平,1,,,,,
66,24,13,息恭,siong1,蜙,1.03鍾,22,蜙淞凇鬆倯𢔋,7,心,s,齒頭音,全清,送氣,鍾開3舒聲,iong,平,1,,,,,
67,22,13,七恭,chiong1,樅,1.03鍾,23,樅鏦從暰䗥瑽摐䐫𥡬𧺣鬆𨑪,15,清,ch,齒頭音,次清,送氣,鍾開3舒聲,iong,平,1,,,,,
68,18,13,曲恭,khiong1,銎,1.03鍾,24,銎𥳎,3,溪,kh,牙音,次清,送氣,鍾開3舒聲,iong,平,1,,,,,
69,17,17,古雙,kang1,江,1.04江,1,江扛杠茳釭矼豇肛玒𧢸䜫,12,見,k,牙音,全清,發聲,江開2舒聲,ang,平,1,,,,,
70,4,17,莫江,bang5,厖,1.04江,2,厖駹狵尨浝哤牻娏䵨㟌蛖𥆙痝𠈵,16,明,b,重脣音,次濁,收聲,江開2舒聲,ang,平,5,,,,,
71,16,17,女江,lang5,𦗳,1.04江,3,𦗳𣰊涳噥𩟊鬞䁸𪆯,12,娘,l,舌上音,次濁,收聲,江開2舒聲,ang,平,5,,,,,
72,28,17,楚江,chang1,囪,1.04江,4,囪䆫牎窓䎫堫摐鏦𥍷,10,初,ch,正齒近齒頭,次清,送氣,江開2舒聲,ang,平,1,,,[䆫/窗],,
73,1,17,博江,pang1,邦,1.04江,5,邦𤰫梆垹,5,幫,p,重脣音,全清,發聲,江開2舒聲,ang,平,1,,,,,
74,38,17,下江,hang5,栙,1.04江,6,栙䜶降缸缻洚夅跭,8,匣,h,喉音,全濁,送氣,江開2舒聲,ang,平,5,,,,,
75,2,17,匹江,phang1,胮,1.04江,7,胮𤵸𩐨𪔔𪐿,9,滂,ph,重脣音,次清,送氣,江開2舒聲,ang,平,1,,,,,
76,41,17,呂江,lang5,瀧,1.04江,8,瀧䮾,2,來,l,半舌,次濁,收聲,江開2舒聲,ang,平,5,,,,品江切,
77,32,17,所江,sang1,雙,1.04江,9,雙艭䉶𢥠䝄瀧𨇯,9,生,s,正齒近齒頭,全清,送氣,江開2舒聲,ang,平,1,,,,,
78,3,17,薄江,pang5,龐,1.04江,10,龐逄胮𩐨舽,6,並,p,重脣音,全濁,,江開2舒聲,ang,平,5,,,,,
79,37,17,許江,hang1,肛,1.04江,11,肛啌谾舡,4,曉,h,喉音,次清,送氣,江開2舒聲,ang,平,1,,,𨋪[夯],,
80,36,17,握江,Øang1,胦,1.04江,12,胦,1,影,Ø,喉音,全清,發聲,江開2舒聲,ang,平,1,,,,,
81,18,17,苦江,khang1,腔,1.04江,13,腔𤟄羫控椌悾跫涳崆𩩝㾤㼹,14,溪,kh,牙音,次清,送氣,江開2舒聲,ang,平,1,,,,,
82,15,17,宅江,tang5,幢,1.04江,14,幢撞橦𣃘噇𩪘,8,澄,t,舌上音,全濁,,江開2舒聲,ang,平,5,,,,,
83,14,17,丑江,thang1,憃,1.04江,15,憃䚎𥡟䄝𧜧,7,徹,th,舌上音,次清,送氣,江開2舒聲,ang,平,1,,,,,
84,9,17,都江,tang1,樁,1.04江,16,樁𣻛,3,端,t,舌頭音,全清,發聲,江開2舒聲,ang,平,1,,,,,
85,20,17,五江,gang5,㟅,1.04江,17,㟅,1,疑,g,牙音,次濁,收聲,江開2舒聲,ang,平,5,,,,,
86,30,17,士江,cang5,淙,1.04江,18,淙鬃㼻𩞐,5,崇,c,正齒近齒頭,全濁,,江開2舒聲,ang,平,5,,,,,
87,27,21,章移,ci1,支,1.05支,1,支𥾣只汥㲍巵梔枝衹㽻衼肢胑𨈛禔馶氏疻㩼鳷䧴觶榰㯄𪂅𧌔眵䡋𩍲,34,章,c,正齒近舌上,全清,發聲,支開3舒聲,i,平,1,,,[巵/卮],,
88,39,21,弋支,Øi5,移,1.05支,2,移䄬迻𠩗杝鉹袲箷𥠥㥴詑簃䔟熪扅衪暆迆𤝻栘歋酏匜拸謻𠗺蛇虵螔𠐀𣣢䬁,38,以,Ø,喉音,次濁,發聲,支開3舒聲,i,平,5,,,[迆/迤],,
89,40,21,薳支,Øi5,爲,1.05支,3,爲為潙䧦鄬𩻟,7,云,Ø,喉音,次濁,發聲,支開3舒聲,i,平,5,,,,,
90,17,25,居爲,kui1,嬀,1.05支,4,嬀潙,2,見,k,牙音,全清,發聲,支合3舒聲,ui,平,1,,,(媯)(溈),,
91,37,25,許爲,hui1,𪎮,1.05支,5,𪎮麾噅撝𩻟䧦,8,曉,h,喉音,次清,送氣,支合3舒聲,ui,平,1,,,,,
92,36,25,於爲,Øui1,逶,1.05支,6,逶𣨙萎㮃覣蜲痿倭委䴧蟡,12,影,Ø,喉音,全清,發聲,支合3舒聲,ui,平,1,,,,,
93,4,25,靡爲,bui5,糜,1.05支,7,糜縻㸏𪎕蘼䊳𪎭𦗕醿,12,明,b,重脣音,次濁,收聲,支合3舒聲,ui,平,5,,,,,
94,37,25,許規,hui1,隓,1.05支,8,隓墮隳眭觿睢䜐鑴蘳,9,曉,h,喉音,次清,送氣,支合3舒聲,ui,平,1,！表字头后退,,,,
95,15,25,直垂,tui5,鬌,1.05支,9,鬌錘甀,3,澄,t,舌上音,全濁,,支合3舒聲,ui,平,5,,,,,
96,34,25,是爲,sui5,𡍮,1.05支,10,𡍮垂陲倕𦈼𨿠圌篅𥳙𠂹,15,禪,s,正齒近齒頭,全濁,送氣,支合3舒聲,ui,平,5,𠂹=⿱𠂹𠃌,末字Z𠂹𠃌,,,
97,41,25,力爲,lui5,羸,1.05支,11,羸𡰠,3,來,l,半舌,次濁,收聲,支合3舒聲,ui,平,5,,,(𡰟),,
98,29,25,昌垂,chui1,吹,1.05支,12,吹炊䶴,3,昌,ch,正齒近舌上,次清,送氣,支合3舒聲,ui,平,1,{表古文,,{龡,,
99,6,21,敷羈,hi1,鈹,1.05支,13,鈹帔鮍披𤱍耚狓翍旇秛𤿎㱟,14,敷,h,輕脣音,次清,送氣,支開3舒聲,i,平,1,㿫=⿰比皮,,,,
100,1,25,彼爲,pui1,陂,1.05支,14,陂詖碑羆𥀍𨰟𤜑𨧦𥶓襬藣,16,幫,p,重脣音,全清,發聲,支合3舒聲,ui,平,1,,,㗗㽡焷䴽錍,,
101,25,25,旬爲,sui5,隨,1.05支,15,隨隋𥶻,4,邪,s,齒頭音,全濁,送氣,支合3舒聲,ui,平,5,,,,,
102,18,25,去爲,khui1,虧,1.05支,16,虧,1,溪,kh,牙音,次清,送氣,支合3舒聲,ui,平,1,,,,,
103,18,25,去隨,khui1,闚,1.05支,17,闚窺,2,溪,kh,牙音,次清,送氣,支合3舒聲,ui,平,1,,,,,
104,19,21,渠羈,ki5,竒,1.05支,18,竒琦騎鵸弜鬾碕𢺷㩽錡,11,群,k,牙音,全濁,,支開3舒聲,i,平,5,㩽原作⿰朿支,,[竒/奇],,
105,19,21,巨支,ki5,祇,1.05支,19,祇示衹岐歧𨙸馶疧蚑忯䞚翄𢻚軝𩉬芪汥跂䲬蚑䉻𦭲伎𨱜𠁭,31,群,k,牙音,全濁,,支開3舒聲,i,平,5,,,,,
106,37,21,許羈,hi1,犧,1.05支,20,犧羲焁桸巇羛戲𤃪曦𢹍𧕆䚙䖒㺣𣤴𢨛㚀隵,23,曉,h,喉音,次清,送氣,支開3舒聲,i,平,1,19->18,,,,
107,18,21,去奇,khi1,㩻,1.05支,21,㩻觭踦㱦崎𦖊碕𤘌㥓䗁攲,13,溪,kh,牙音,次清,送氣,支開3舒聲,i,平,1,,,[榿],,
108,20,21,魚羈,gi5,宜,1.05支,22,宜宐𠣨㝖儀𥪺䣡䴊轙涯崖,13,疑,g,牙音,次濁,收聲,支開3舒聲,i,平,5,,,,,
109,7,21,符羈,hi5,皮,1.05支,23,皮疲郫罷㯅犤,6,奉,h,輕脣音,全濁,,支開3舒聲,i,平,5,,,,,
110,34,21,是支,si5,提,1.05支,24,提𦑡㖷匙䈕堤禔𦳚忯姼眂𣏚,15,禪,s,正齒近齒頭,全濁,送氣,支開3舒聲,i,平,5,,,,,
111,42,21,汝移,ji5,兒,1.05支,25,兒𠒆唲婼,5,日,j,半齒,次濁,收聲,支開3舒聲,i,平,5,婼羌,,,,
112,41,21,吕支,li5,離,1.05支,26,離籬醨罹璃酈𣀷驪𪖂樆鸝鵹𪅆縭褵蘺䕻麗离䍦㰚蠡䅻孋漓灕𧕯㷰𧕮攡黐矖穲𢟢𢥗謧劙,44,來,l,半舌,次濁,收聲,支開3舒聲,i,平,5,,,,,
113,23,21,疾移,ci5,疵,1.05支,27,疵骴玼茈𣐑胔飺鴜,9,從,c,齒頭音,全濁,,支開3舒聲,i,平,5,,,,,
114,21,21,即移,ci1,貲,1.05支,28,貲頿鴜𪕊鮆訾鄑㠿媊𨚖㰣鈭姕𦺱䖪觜,19,精,c,齒頭音,全清,發聲,支開3舒聲,i,平,1,,,[頿/頾髭],,
115,17,21,居宜,ki1,羈,1.05支,29,羈畸羇掎攲竒㱦妓躸,9,見,k,牙音,全清,發聲,支開3舒聲,i,平,1,,,(奇),,
116,5,21,府移,hi1,卑,1.05支,30,卑鵯椑箄裨鞞𩔹痺渒錍𢃍,13,非,h,輕脣音,全清,發聲,支開3舒聲,i,平,1,,,,,
117,7,21,符支,hi5,陴,1.05支,31,陴𩫫焷脾䴽埤裨蜱𧓎螷蠯㯅郫𪌈紕,18,奉,h,輕脣音,全濁,,支開3舒聲,i,平,5,,,,,
118,33,21,式支,si1,䌳,1.05支,32,䌳絁施葹䙾鍦鉈鸍𪓿䗐𧠜𢻫,15,書,s,正齒近舌上,全清,送氣,支開3舒聲,i,平,1,,,𦇲,,
119,24,21,息移,si1,斯,1.05支,33,斯虒𩆵榹㴲廝㒋凘磃㾷傂謕鼶𪆁蟴㽄螔䫢䌳䔮菥𥕶蜤燍禠鐁,29,心,s,齒頭音,全清,送氣,支開3舒聲,i,平,1,,,,,
120,28,21,楚宜,chi1,差,1.05支,34,差嵯𪙉縒,5,初,ch,正齒近齒頭,次清,送氣,支開3舒聲,i,平,1,,,,,
121,14,21,丑知,thi1,摛,1.05支,35,摛螭誺魑黐㷰离𡴥彲,10,徹,th,舌上音,次清,送氣,支開3舒聲,i,平,1,,,,,
122,8,21,武移,bi5,彌,1.05支,36,彌𢏏鸍镾䍘𨤐𥉓㣆獼𥸀擟麊冞㜷䥸𥎖瀰,22,微,b,輕脣音,次濁,收聲,支開3舒聲,i,平,5,,鸍誤作𪂕,,,
123,22,21,此移,chi1,雌,1.05支,37,雌𦙼姕鈭𦍧,7,清,ch,齒頭音,次清,送氣,支開3舒聲,i,平,1,,,(胔）,,
124,13,21,陟移,ti1,知,1.05支,38,知䵹鼅蜘䣽䝷,6,知,t,舌上音,全清,發聲,支開3舒聲,i,平,1,,,,,
125,36,21,於離,Øi1,漪,1.05支,39,漪猗椅旖禕陭欹㾨犄𩕲檹,12,影,Ø,喉音,全清,發聲,支開3舒聲,i,平,1,,,,,
126,15,21,直離,ti5,馳,1.05支,40,馳趍池簃篪䶵踟褫䪧䶔誃傂䞾,13,澄,t,舌上音,全濁,,支開3舒聲,i,平,5,14->13,,,,
127,24,25,息爲,sui1,眭,1.05支,41,眭,1,心,s,齒頭音,全清,送氣,支合3舒聲,ui,平,1,,,,,
128,20,25,魚爲,gui5,危,1.05支,42,危㕒洈峗,4,疑,g,牙音,次濁,收聲,支合3舒聲,ui,平,5,,,,,
129,37,21,香支,hi1,詑,1.05支,43,詑焁,2,曉,h,喉音,次清,送氣,支開3舒聲,i,平,1,,,,,
130,32,21,所宜,si1,釃,1.05支,44,釃簁欐襹褷𧕯籭,8,生,s,正齒近齒頭,全清,送氣,支開3舒聲,i,平,1,,,(篩）,,
131,32,25,山垂,sui1,䪎,1.05支,45,䪎䭨,2,生,s,正齒近齒頭,全清,送氣,支合3舒聲,ui,平,1,,,,,
132,42,25,人垂,jui5,痿,1.05支,46,痿䬐,2,日,j,半齒,次濁,收聲,支合3舒聲,ui,平,5,,,,,
133,21,21,姊移,ci1,厜,1.05支,47,厜觜纗惢嫢㭰,6,精,c,齒頭音,全清,發聲,支開3舒聲,i,平,1,,,,,
134,17,25,居隋,kui1,𩓸,1.05支,48,𩓸𩓡槻規鬹𨾚摫,10,見,k,牙音,全清,發聲,支合3舒聲,ui,平,1,,,,,
135,21,25,遵爲,cui1,劑,1.05支,49,劑㭰𦸺臇𤎱㷷,8,精,c,齒頭音,全清,發聲,支合3舒聲,ui,平,1,,,,,
136,28,25,楚危,chui1,衰,1.05支,50,衰夊,2,初,ch,正齒近齒頭,次清,送氣,支合3舒聲,ui,平,1,,,,,
137,13,25,竹垂,tui1,腄,1.05支,51,腄箠㩾,3,知,t,舌上音,全清,發聲,支合3舒聲,ui,平,1,,,,,
138,21,25,子垂,cui1,䮔,1.05支,52,䮔,1,精,c,齒頭音,全清,發聲,支合3舒聲,ui,平,1,,,,,
139,29,21,叱支,chi1,眵,1.05支,53,眵䌳,2,昌,ch,正齒近舌上,次清,送氣,支開3舒聲,i,平,1,,,,,
140,26,21,側移,ci1,齜,1.05支,54,齜,1,莊,c,正齒近齒頭,全清,發聲,支開3舒聲,i,平,1,,,,,
141,2,21,匹支,phi1,𤿎,1.05支,55,𤿎,2,滂,ph,重脣音,次清,送氣,支開3舒聲,i,平,1,,,,,
142,39,25,悅吹,Øui5,䔺,1.05支,56,䔺𩁌蠵欈𧲚䝐,8,以,Ø,喉音,次濁,發聲,支合3舒聲,ui,平,5,,𩁌作H阝Z𢀡隹,,,
143,30,21,士移,ci5,齹,1.05支,57,齹,1,崇,c,正齒近齒頭,全濁,,支開3舒聲,i,平,5,,,,,
144,27,29,旨夷,ci1,脂,1.06脂,1,脂祗汦砥栺鴲㴯疻䓜𥁼,11,章,c,正齒近舌上,全清,發聲,脂開3舒聲,i,平,1,,,,,
145,39,29,以脂,Øi5,姨,1.06脂,2,姨彞寅夷峓恞眱𣟗珆蔩𡰥痍䧅荑桋蛦胰鮧羠羨鏔𢓡鴺𡱐跠洟,30,以,Ø,喉音,次濁,發聲,脂開3舒聲,i,平,5,,,[彞/彝],,
146,32,29,䟽夷,si1,師,1.06脂,3,師鰤蒒篩獅螄,6,生,s,正齒近齒頭,全清,送氣,脂開3舒聲,i,平,1,,,,,
147,7,29,房脂,hi5,𣬈,1.06脂,4,𣬈毗比琵㮰芘沘貔豼膍肶蚍𧖈枇仳𨈚魮鈚𦳈𦊁阰𧑜鵧,29,奉,h,輕脣音,全濁,,脂開3舒聲,i,平,5,,,,,
148,21,29,即夷,ci1,咨,1.06脂,5,咨資粢𪗉𪗋𧞓諮姿齍澬𣳩齎蒫𩆂𩄚,21,精,c,齒頭音,全清,發聲,脂開3舒聲,i,平,1,𩄠=⿱雨真,𩄚,,,
149,17,29,居夷,ki1,飢,1.06脂,6,飢机肌虮,4,見,k,牙音,全清,發聲,脂開3舒聲,i,平,1,,,,,
150,29,29,處脂,chi1,鴟,1.06脂,7,鴟𨾦鵄胵𩶅𧪡𨒬,11,昌,ch,正齒近舌上,次清,送氣,脂開3舒聲,i,平,1,,,,,
151,14,29,丑飢,thi1,絺,1.06脂,8,絺辴郗𥭘脪瓻訵,8,徹,th,舌上音,次清,送氣,脂開3舒聲,i,平,1,,,,,
