識別號,上字表識別號,下字表識別號,切語,拼音,小韻字,目次編碼,小韻字序號,小韻字集,字數,聲母,聲母拼音碼,發音部位,清濁,發送收,韻母,韻母拼音碼,調,調號,備註,原有備註,異體字,其它備註,
1985,27,322,章荏,cim2,枕,3.47寑,9,枕䪴䫬,3,章,c,正齒近舌上,全清,發聲,侵開3舒聲,im,上,2,,,,,
1986,33,323,式任,sim2,沈,3.47寑,10,沈邥宷審㰂瞫諗䰼魫淰㜤䀢𩶇𧀯,16,書,s,正齒近舌上,全清,送氣,侵開3舒聲,im,上,2,,,嬸,,
1987,35,322,食荏,sim2,葚,3.47寑,11,葚𣞵,3,船,s,正齒近舌上,全濁,送氣,侵開3舒聲,im,上,2,,,,,
1988,34,322,常枕,sim2,甚,3.47寑,12,甚訦,2,禪,s,正齒近齒頭,全濁,送氣,侵開3舒聲,im,上,2,,,,,
1989,29,322,昌枕,chim2,瀋,3.47寑,13,瀋,1,昌,ch,正齒近舌上,次清,送氣,侵開3舒聲,im,上,2,,,,,
1990,28,322,初朕,chim2,墋,3.47寑,14,墋醦磣,3,初,ch,正齒近齒頭,次清,送氣,侵開3舒聲,im,上,2,,,,,
1991,16,322,尼凜,lim2,拰,3.47寑,15,拰,1,娘,l,舌上音,次濁,收聲,侵開3舒聲,im,上,2,,,,,
1992,19,322,渠飲,kim2,噤,3.47寑,16,噤䫴凚唫,4,群,k,牙音,全濁,,侵開3舒聲,im,上,2,,,,,
1993,17,322,居飲,kim2,錦,3.47寑,17,錦,1,見,k,牙音,全清,發聲,侵開3舒聲,im,上,2,,,,,
1994,23,322,慈荏,cim2,蕈,3.47寑,18,蕈,1,從,c,齒頭音,全濁,,侵開3舒聲,im,上,2,,,,,
1995,20,322,牛錦,gim2,僸,3.47寑,19,僸趛,2,疑,g,牙音,次濁,收聲,侵開3舒聲,im,上,2,,,,,
1996,32,322,踈錦,sim2,㾕,3.47寑,20,㾕瘮槮,3,生,s,正齒近齒頭,全清,送氣,侵開3舒聲,im,上,2,,,,,
1997,1,322,筆錦,pim2,稟,3.47寑,21,稟,1,幫,p,重脣音,全清,發聲,侵開3舒聲,im,上,2,,,,,
1998,36,322,於錦,Øim2,㱃,3.47寑,22,㱃飲𤃷,4,影,Ø,喉音,全清,發聲,侵開3舒聲,im,上,2,,,,,
1999,2,322,丕飲,phim2,品,3.47寑,23,品,1,滂,ph,重脣音,次清,送氣,侵開3舒聲,im,上,2,,,,,
2000,18,322,欽錦,khim2,𩖄,3.47寑,24,𩖄顉,3,溪,kh,牙音,次清,送氣,侵開3舒聲,im,上,2,,,,,
2001,37,322,許錦,him2,廞,3.47寑,25,廞,1,曉,h,喉音,次清,送氣,侵開3舒聲,im,上,2,,,,,
2002,13,37,張甚,ti2,戡,3.47寑,26,戡㱽,2,知,t,舌上音,全清,發聲,之開3舒聲,i,上,2,,,,,
2003,39,322,以荏,Øim2,潭,3.47寑,27,潭,1,以,Ø,喉音,次濁,發聲,侵開3舒聲,im,上,2,,,,,
2004,30,322,士㾕,cim2,𩒣,3.47寑,28,𩒣,2,崇,c,正齒近齒頭,全濁,,侵開3舒聲,im,上,2,,,,,
2005,17,326,古禫,kam2,感,3.48感,1,感𥸡鱤灝贑䤗贛㔶𧆐䃭灨,13,見,k,牙音,全清,發聲,覃開1舒聲,am,上,2,,䤗原作P𥪴酉,,,
2006,11,326,徒感,tam2,禫,3.48感,2,禫䊤䨢黮窞髧萏𧂄倓𥥦𧡪醰嘾贉譚𣛱,20,定,t,舌頭音,全濁,,覃開1舒聲,am,上,2,,,,,
2007,36,326,烏感,Øam2,晻,3.48感,3,晻黭揞唵隌罯黤㞄𤃷,10,影,Ø,喉音,全清,發聲,覃開1舒聲,am,上,2,缺⿰氵闇,,,,
2008,12,326,奴感,lam2,腩,3.48感,4,腩湳䈒𦐃揇萳,7,泥,l,舌頭音,次濁,收聲,覃開1舒聲,am,上,2,,,,,
2009,10,326,他感,tham2,襑,3.48感,5,襑𥁺䏙嗿黮,6,透,th,舌頭音,次清,送氣,覃開1舒聲,am,上,2,,,(醓)[忐],,
2010,23,326,徂感,cam2,歜,3.48感,6,歜㣅䰼㔆,4,從,c,齒頭音,全濁,,覃開1舒聲,am,上,2,,,,,
2011,22,326,七感,cham2,慘,3.48感,7,慘憯朁黲㜗傪噆䫩,8,清,ch,齒頭音,次清,送氣,覃開1舒聲,am,上,2,,,,,
2012,20,326,五感,gam2,顉,3.48感,8,顉㜝嵁,3,疑,g,牙音,次濁,收聲,覃開1舒聲,am,上,2,,,,,
2013,21,326,子感,cam2,昝,3.48感,9,昝寁撍,3,精,c,齒頭音,全清,發聲,覃開1舒聲,am,上,2,,,,,
2014,24,326,桑感,sam2,糂,3.48感,10,糂糝糣𢕕㧲槮䫩䊉,9,心,s,齒頭音,全清,送氣,覃開1舒聲,am,上,2,刪粽,,,,
2015,18,326,苦感,kham2,坎,3.48感,11,坎歁惂輡錎轗埳顑竷臽,10,溪,kh,牙音,次清,送氣,覃開1舒聲,am,上,2,,,,,
2016,38,326,胡感,ham2,頷,3.48感,12,頷頜𡣊撼淊菡欿蜭涵肣𢎘𢇞𢃗莟顄𡻡,21,匣,h,喉音,全濁,送氣,覃開1舒聲,am,上,2,,,,,
2017,41,326,盧感,lam2,壈,3.48感,13,壈燣𨎹浨醂顲𠓭纜漤,11,來,l,半舌,次濁,收聲,覃開1舒聲,am,上,2,纜?,,,,
2018,9,326,都感,tam2,黕,3.48感,14,黕耽𡖓衴䪴丼瓭抌䉞𥴶,12,端,t,舌頭音,全清,發聲,覃開1舒聲,am,上,2,缺⿱箴心,,,,
2019,37,326,呼唵,ham2,䫲,3.48感,15,䫲,1,曉,h,喉音,次清,送氣,覃開1舒聲,am,上,2,,,,,
2020,17,330,古覽,kam2,敢,3.49敢,1,敢𠭖𣪏𢽤橄澉䇞,10,見,k,牙音,全清,發聲,談開1舒聲,am,上,2,,,,,
2021,33,330,賞敢,sam2,㶒,3.49敢,2,㶒,1,書,s,正齒近舌上,全清,送氣,談開1舒聲,am,上,2,,,,,
2022,41,330,盧敢,lam2,覽,3.49敢,3,覽爁擥攬欖罱,6,來,l,半舌,次濁,收聲,談開1舒聲,am,上,2,,,,,
2023,10,330,吐敢,tham2,𦵹,3.49敢,4,𦵹菼緂𤎥毯𦃖裧𠪚,12,透,th,舌頭音,次清,送氣,談開1舒聲,am,上,2,,,,,
2024,9,330,都敢,tam2,膽,3.49敢,5,膽紞䃫黵䒞𪆻,7,端,t,舌頭音,全清,發聲,談開1舒聲,am,上,2,,,,,
2025,11,330,徒敢,tam2,噉,3.49敢,6,噉啖啗澹𥲄淡憺惔,9,定,t,舌頭音,全濁,,談開1舒聲,am,上,2,,,,,
2026,22,330,倉敢,cham2,黲,3.49敢,7,黲,1,清,ch,齒頭音,次清,送氣,談開1舒聲,am,上,2,,,,,
2027,4,330,謨敢,bam2,㛧,3.49敢,8,㛧𩛎,3,明,b,重脣音,次濁,收聲,談開1舒聲,am,上,2,,,,,
2028,21,330,子敢,cam2,䭕,3.49敢,9,䭕,1,精,c,齒頭音,全清,發聲,談開1舒聲,am,上,2,,,,,
2029,23,330,才敢,cam2,槧,3.49敢,10,槧鏨嵌㟛,4,從,c,齒頭音,全濁,,談開1舒聲,am,上,2,,,,,
2030,37,330,呼覽,ham2,喊,3.49敢,11,喊嚂𡒓㯺,5,曉,h,喉音,次清,送氣,談開1舒聲,am,上,2,,,,,
2031,36,330,烏敢,Øam2,埯,3.49敢,12,埯揜,2,影,Ø,喉音,全清,發聲,談開1舒聲,am,上,2,,,,,
2032,18,330,口敢,kham2,𠪚,3.49敢,13,𠪚䖔,3,溪,kh,牙音,次清,送氣,談開1舒聲,am,上,2,,,,,
2033,39,334,以冉,Øiam2,琰,3.50琰,1,琰剡𨁹棪燄淡扊淊夵䎦䌪,12,以,Ø,喉音,次濁,發聲,鹽開4舒聲,iam,上,2,,,,,
2034,41,334,良冉,liam2,斂,3.50琰,2,斂撿薟蘞瀲獫溓嬚䭑羷䌞㰈㯬,13,來,l,半舌,次濁,收聲,鹽開4舒聲,iam,上,2,,,(澰),,
2035,37,334,虚檢,hiam2,險,3.50琰,3,險獫玁㛍譣憸𩏩嶮,9,曉,h,喉音,次清,送氣,鹽開4舒聲,iam,上,2,,,,,
2036,5,334,方斂,hiam2,貶,3.50琰,4,貶𦥘,3,非,h,輕脣音,全清,發聲,鹽開4舒聲,iam,上,2,,,,,
2037,27,334,占琰,ciam2,颭,3.50琰,5,颭,1,章,c,正齒近舌上,全清,發聲,鹽開4舒聲,iam,上,2,,,,,
2038,18,334,丘檢,khiam2,𩑳,3.50琰,6,𩑳嵰,3,溪,kh,牙音,次清,送氣,鹽開4舒聲,iam,上,2,,,,,
2039,20,334,魚檢,giam2,顩,3.50琰,7,顩广隒嬐䲓嶮噞,7,疑,g,牙音,次濁,收聲,鹽開4舒聲,iam,上,2,,,,,
2040,19,334,巨險,kiam2,儉,3.50琰,8,儉芡,2,群,k,牙音,全濁,,鹽開4舒聲,iam,上,2,,,,,
2041,17,334,居奄,kiam2,檢,3.50琰,9,檢瞼,2,見,k,牙音,全清,發聲,鹽開4舒聲,iam,上,2,,,,,
2042,36,334,於琰,Øiam2,黶,3.50琰,10,黶𧞣檿厭魘厴擪酓,9,影,Ø,喉音,全清,發聲,鹽開4舒聲,iam,上,2,,,,,
2043,42,334,而琰,jiam2,冉,3.50琰,11,冉姌苒染𩃵䎃柟䣸𥬕𡜉,13,日,j,半齒,次濁,收聲,鹽開4舒聲,iam,上,2,,,,,
2044,33,334,失冉,siam2,陝,3.50琰,12,陝睒閃𧴭覢㴸㚒𡟨,10,書,s,正齒近舌上,全清,送氣,鹽開4舒聲,iam,上,2,,,𧴭𧵏,,
2045,14,334,丑琰,thiam2,諂,3.50琰,13,諂讇,2,徹,th,舌上音,次清,送氣,鹽開4舒聲,iam,上,2,,,,,
2046,36,334,衣儉,Øiam2,奄,3.50琰,14,奄𩃗䣍㭺閹掩揜裺晻渰罨弇𣃰媕𤗎𡹮𣄉,22,影,Ø,喉音,全清,發聲,鹽開4舒聲,iam,上,2,,,,,
2047,23,334,慈染,ciam2,漸,3.50琰,15,漸𥕌蔪𦾶䟅嚵䤔鏨螹槧,12,從,c,齒頭音,全濁,,鹽開4舒聲,iam,上,2,,,,,
2048,22,334,七漸,chiam2,憸,3.50琰,16,憸䤘,2,清,ch,齒頭音,次清,送氣,鹽開4舒聲,iam,上,2,,,,,
2049,21,334,子冉,ciam2,𩟗,3.50琰,17,𩟗,2,精,c,齒頭音,全清,發聲,鹽開4舒聲,iam,上,2,,,,,
2050,18,334,謙琰,khiam2,脥,3.50琰,18,脥,1,溪,kh,牙音,次清,送氣,鹽開4舒聲,iam,上,2,,,,,
2051,34,334,時染,siam2,剡,3.50琰,19,剡,1,禪,s,正齒近齒頭,全濁,送氣,鹽開4舒聲,iam,上,2,,,,,
2052,10,338,他玷,thiam2,忝,3.51忝,1,忝䄼栝銛悿,5,透,th,舌頭音,次清,送氣,添開3舒聲,iam,上,2,,,餂(舔),,
2053,12,338,乃玷,liam2,淰,3.51忝,2,淰㜤𨸱姌,5,泥,l,舌頭音,次濁,收聲,添開3舒聲,iam,上,2,,,,,
2054,9,338,多忝,tiam2,點,3.51忝,3,點玷𦒻㓠䍄,6,端,t,舌頭音,全清,發聲,添開3舒聲,iam,上,2,,,,,
2055,11,338,徒玷,tiam2,簟,3.51忝,4,簟扂𠂼驔㶘橝,7,定,t,舌頭音,全濁,,添開3舒聲,iam,上,2,𠂼 :),,,,
2056,18,338,苦簟,khiam2,嗛,3.51忝,5,嗛歉慊膁,4,溪,kh,牙音,次清,送氣,添開3舒聲,iam,上,2,,,,,
2057,41,338,力忝,liam2,稴,3.51忝,6,稴溓𤬓,4,來,l,半舌,次濁,收聲,添開3舒聲,iam,上,2,,,,,
2058,38,338,胡忝,hiam2,鼸,3.51忝,7,鼸㺌,2,匣,h,喉音,全濁,送氣,添開3舒聲,iam,上,2,,,,,
2059,22,338,青忝,chiam2,憯,3.51忝,8,憯,1,清,ch,齒頭音,次清,送氣,添開3舒聲,iam,上,2,,,,,
2060,17,338,兼玷,kiam2,孂,3.51忝,9,孂,1,見,k,牙音,全清,發聲,添開3舒聲,iam,上,2,,,,,
2061,4,338,明忝,biam2,𡕢,3.51忝,10,𡕢厸,3,明,b,重脣音,次濁,收聲,添開3舒聲,iam,上,2,,,,,
2062,20,350,魚掩,giam2,儼,3.52儼,1,儼广𠆲㢂礹𢇘曮,9,疑,g,牙音,次濁,收聲,嚴開3舒聲,iam,上,2,,,,,
2063,18,350,丘广,khiam2,欦,3.52儼,2,欦𩒥䇜,4,溪,kh,牙音,次清,送氣,嚴開3舒聲,iam,上,2,,,,,
2064,36,350,於广,Øiam2,埯,3.52儼,3,埯𣃧,3,影,Ø,喉音,全清,發聲,嚴開3舒聲,iam,上,2,,,,,
2065,38,342,下斬,ham2,豏,3.53豏,1,豏減㺝喊㺌𡞣𥻇甉,10,匣,h,喉音,全濁,送氣,咸開2舒聲,am,上,2,,,[餡],,
2066,11,342,徒減,tam2,湛,3.53豏,2,湛㴴偡,3,定,t,舌頭音,全濁,,咸開2舒聲,am,上,2,,,,,
2067,18,342,苦減,kham2,㦿,3.53豏,3,㦿𢜩歉撖䫡𣓅槏,9,溪,kh,牙音,次清,送氣,咸開2舒聲,am,上,2,,,,,
2068,17,342,古斬,kam2,鹼,3.53豏,4,鹼鹻減𥳒,5,見,k,牙音,全清,發聲,咸開2舒聲,am,上,2,,,(碱)(堿),,
2069,30,342,士減,cam2,瀺,3.53豏,5,瀺嶃嵁,3,崇,c,正齒近齒頭,全濁,,咸開2舒聲,am,上,2,,,(嶄),,
2070,41,342,力減,lam2,臉,3.53豏,6,臉醶,2,來,l,半舌,次濁,收聲,咸開2舒聲,am,上,2,,,,,
2071,26,342,側減,cam2,斬,3.53豏,7,斬,1,莊,c,正齒近齒頭,全清,發聲,咸開2舒聲,am,上,2,,,,,
2072,28,342,初減,cham2,䑎,3.53豏,8,䑎䤘,2,初,ch,正齒近齒頭,次清,送氣,咸開2舒聲,am,上,2,,,,,
2073,37,342,火斬,ham2,闞,3.53豏,9,闞欦,2,曉,h,喉音,次清,送氣,咸開2舒聲,am,上,2,,,,,
2074,32,342,所斬,sam2,摻,3.53豏,10,摻㺑醦𧀵,5,生,s,正齒近齒頭,全清,送氣,咸開2舒聲,am,上,2,,,,,
2075,36,342,乙減,Øam2,黯,3.53豏,11,黯,1,影,Ø,喉音,全清,發聲,咸開2舒聲,am,上,2,,,,,
2076,37,342,呼豏,ham2,喊,3.53豏,12,喊,1,曉,h,喉音,次清,送氣,咸開2舒聲,am,上,2,,,,,
2077,16,342,女減,lam2,𦊔,3.53豏,13,𦊔𦌫淰,5,娘,l,舌上音,次濁,收聲,咸開2舒聲,am,上,2,,,,,
2078,14,342,丑減,tham2,𠐩,3.53豏,14,𠐩旵,3,徹,th,舌上音,次清,送氣,咸開2舒聲,am,上,2,,,,,
2079,38,346,胡黤,ham2,檻,3.54檻,1,檻艦壏𥽏㔋濫𨏊轞㺝撖,12,匣,h,喉音,全濁,送氣,銜開2舒聲,am,上,2,,,,,
2080,18,346,丘檻,kham2,䫡,3.54檻,2,䫡,1,溪,kh,牙音,次清,送氣,銜開2舒聲,am,上,2,,,,,
2081,32,346,山檻,sam2,㨻,3.54檻,3,㨻㺑,2,生,s,正齒近齒頭,全清,送氣,銜開2舒聲,am,上,2,,,,,
2082,36,346,於檻,Øam2,黤,3.54檻,4,黤𪒠,3,影,Ø,喉音,全清,發聲,銜開2舒聲,am,上,2,,,,,
2083,28,346,初檻,cham2,醶,3.54檻,5,醶,1,初,ch,正齒近齒頭,次清,送氣,銜開2舒聲,am,上,2,,,,,
2084,37,346,荒檻,ham2,㺖,3.54檻,6,㺖豃,2,曉,h,喉音,次清,送氣,銜開2舒聲,am,上,2,,,,,
2085,30,346,仕檻,cam2,巉,3.54檻,7,巉,1,崇,c,正齒近齒頭,全濁,,銜開2舒聲,am,上,2,,,,,
2086,7,354,防錽,huan2,范,3.55范,1,范範軓笵犯𧍙,7,奉,h,輕脣音,全濁,,凡合3舒聲,uan,上,2,,,,,
2087,8,354,亡范,buan2,錽,3.55范,2,錽𡕢𢨔,5,微,b,輕脣音,次濁,收聲,凡合3舒聲,uan,上,2,,,,,
2088,5,354,府犯,huan2,𦜒,3.55范,3,𦜒,2,非,h,輕脣音,全清,發聲,凡合3舒聲,uan,上,2,,,,,
2089,18,354,丘犯,khuan2,凵,3.55范,4,凵㧄,2,溪,kh,牙音,次清,送氣,凡合3舒聲,uan,上,2,,,,,
2090,6,354,峯犯,huan2,釩,3.55范,5,釩,1,敷,h,輕脣音,次清,送氣,凡合3舒聲,uan,上,2,,,,,
2091,14,354,丑犯,thuan2,𠑆,3.55范,6,𠑆𨇧,4,徹,th,舌上音,次清,送氣,凡合3舒聲,uan,上,2,,,,,
2092,24,3,蘇弄,song3,送,4.01送,1,送鬆凇,3,心,s,齒頭音,全清,送氣,東開1舒聲,ong,去,3,,,,,
2093,7,3,馮貢,hong7,鳳,4.01送,2,鳳𠤈,3,奉,h,輕脣音,全濁,,東開1舒聲,ong,去,7,,,,,
2094,17,3,古送,kong3,貢,4.01送,3,貢贛𣹟虹羾𨹁䇨㔶㯯𧆐,13,見,k,牙音,全清,發聲,東開1舒聲,ong,去,3,,,,,
2095,41,3,盧貢,long7,弄,4.01送,4,弄𢙱梇礱哢㢅㳥,8,來,l,半舌,次濁,收聲,東開1舒聲,ong,去,7,,,,,
2096,9,3,多貢,tong3,涷,4.01送,5,涷凍棟湩㼯𩭩䍶,8,端,t,舌頭音,全清,發聲,東開1舒聲,ong,去,3,,,[腖],,
2097,18,3,苦貢,khong3,控,4.01送,6,控倥悾鞚空𤗇,7,溪,kh,牙音,次清,送氣,東開1舒聲,ong,去,3,,,,,
2098,21,3,作弄,cong3,糉,4.01送,7,糉粽䁓偬㚇鯼緵,7,精,c,齒頭音,全清,發聲,東開1舒聲,ong,去,3,刪𧩪,,(傯),,
2099,36,3,烏貢,Øong3,瓮,4.01送,8,瓮甕𦉥罋𪖵,7,影,Ø,喉音,全清,發聲,東開1舒聲,ong,去,3,,,,,
2100,22,3,千弄,chong3,𧩪,4.01送,9,𧩪愡,3,清,ch,齒頭音,次清,送氣,東開1舒聲,ong,去,3,,,(謥)(憁),,
2101,11,3,徒弄,tong7,洞,4.01送,10,洞恫眮絧㓊峒詷胴慟筒駧衕迵戙㗢𩐵,17,定,t,舌頭音,全濁,,東開1舒聲,ong,去,7,,,,,
2102,10,3,他貢,thong3,痛,4.01送,11,痛,1,透,th,舌頭音,次清,送氣,東開1舒聲,ong,去,3,,,,,
2103,15,7,直衆,tiong7,仲,4.01送,12,仲蟲𩿀,4,澄,t,舌上音,全濁,,東開3舒聲,iong,去,7,,,,,
2104,5,3,方鳳,hong3,諷,4.01送,13,諷風,2,非,h,輕脣音,全清,發聲,東開1舒聲,ong,去,3,,,,,
2105,18,7,去仲,khiong3,焪,4.01送,14,焪䛪䠻,3,溪,kh,牙音,次清,送氣,東開3舒聲,iong,去,3,,,,,
2106,4,3,莫鳳,bong7,㝱,4.01送,15,㝱夢瞢鄸䠢,5,明,b,重脣音,次濁,收聲,東開1舒聲,ong,去,7,,,,,
2107,37,7,香仲,hiong3,𧽒,4.01送,16,𧽒䠗,3,曉,h,喉音,次清,送氣,東開3舒聲,iong,去,3,,,,,
2108,4,3,莫弄,bong7,𢄐,4.01送,17,𢄐霿艨,4,明,b,重脣音,次濁,收聲,東開1舒聲,ong,去,7,,,,,
2109,22,7,千仲,chiong3,趥,4.01送,18,趥,1,清,ch,齒頭音,次清,送氣,東開3舒聲,iong,去,3,,,,,
2110,6,3,撫鳳,hong3,賵,4.01送,19,賵麷,2,敷,h,輕脣音,次清,送氣,東開1舒聲,ong,去,3,,,,,
2111,23,3,徂送,cong7,𣀒,4.01送,20,𣀒𠏭,4,從,c,齒頭音,全濁,,東開1舒聲,ong,去,7,,,,,
2112,13,7,陟仲,tiong3,中,4.01送,21,中衷,2,知,t,舌上音,全清,發聲,東開3舒聲,iong,去,3,,,,,
2113,38,3,胡貢,hong7,哄,4.01送,22,哄烘港閧蕻,5,匣,h,喉音,全濁,送氣,東開1舒聲,ong,去,7,,,,,
2114,12,3,奴凍,long7,齈,4.01送,23,齈癑,2,泥,l,舌頭音,次濁,收聲,東開1舒聲,ong,去,7,,,,,
2115,27,7,之仲,ciong3,衆,4.01送,24,衆,1,章,c,正齒近舌上,全清,發聲,東開3舒聲,iong,去,3,,,,,
2116,29,7,充仲,chiong3,銃,4.01送,25,銃,1,昌,ch,正齒近舌上,次清,送氣,東開3舒聲,iong,去,3,,,,,
2117,30,7,仕仲,ciong7,㓽,4.01送,26,㓽,1,崇,c,正齒近齒頭,全濁,,東開3舒聲,iong,去,7,,,,,
2118,37,3,呼貢,hong3,烘,4.01送,27,烘戇,2,曉,h,喉音,次清,送氣,東開1舒聲,ong,去,3,,,,,
2119,24,11,蘇統,song3,宋,4.02宋,1,宋,1,心,s,齒頭音,全清,送氣,冬開1舒聲,ong,去,3,,,,,
2120,21,11,子宋,cong3,綜,4.02宋,2,綜䝋錝,3,精,c,齒頭音,全清,發聲,冬開1舒聲,ong,去,3,,,,,
2121,10,11,他綜,thong3,統,4.02宋,3,統𪎽,3,透,th,舌頭音,次清,送氣,冬開1舒聲,ong,去,3,,,,,
2122,4,11,莫綜,bong7,雺,4.02宋,4,雺,1,明,b,重脣音,次濁,收聲,冬開1舒聲,ong,去,7,,,,,
2123,38,11,乎宋,hong7,䃔,4.02宋,5,䃔㗢,2,匣,h,喉音,全濁,送氣,冬開1舒聲,ong,去,7,,,,,
2124,39,15,余頌,Øiong7,用,4.03用,1,用,1,以,Ø,喉音,次濁,發聲,鍾開3舒聲,iong,去,7,,,,,
2125,25,15,似用,siong7,頌,4.03用,2,頌誦訟吅,4,邪,s,齒頭音,全濁,送氣,鍾開3舒聲,iong,去,7,,,,,
2126,7,15,扶用,hiong7,俸,4.03用,3,俸㡝縫捀,4,奉,h,輕脣音,全濁,,鍾開3舒聲,iong,去,7,,,,,
2127,19,15,渠用,kiong7,共,4.03用,4,共,1,群,k,牙音,全濁,,鍾開3舒聲,iong,去,7,,,,,
2128,5,15,方用,hiong3,葑,4.03用,5,葑封,2,非,h,輕脣音,全清,發聲,鍾開3舒聲,iong,去,3,,,,,
2129,17,15,居用,kiong3,供,4.03用,6,供龏,2,見,k,牙音,全清,發聲,鍾開3舒聲,iong,去,3,,,,,
2130,36,15,於用,Øiong3,雍,4.03用,7,雍灉㙲,3,影,Ø,喉音,全清,發聲,鍾開3舒聲,iong,去,3,,,,,
2131,13,15,竹用,tiong3,湩,4.03用,8,湩堹諥,3,知,t,舌上音,全清,發聲,鍾開3舒聲,iong,去,3,,,,,
2132,21,15,子用,ciong3,縱,4.03用,9,縱瘲,2,精,c,齒頭音,全清,發聲,鍾開3舒聲,iong,去,3,,,,,
2133,14,15,丑用,thiong3,蹱,4.03用,10,蹱憃,2,徹,th,舌上音,次清,送氣,鍾開3舒聲,iong,去,3,,,,,
2134,42,15,而用,jiong7,䩸,4.03用,11,䩸𩉪𩼅,5,日,j,半齒,次濁,收聲,鍾開3舒聲,iong,去,7,,,,,
2135,27,15,之用,ciong3,種,4.03用,12,種偅㼿,3,章,c,正齒近舌上,全清,發聲,鍾開3舒聲,iong,去,3,,,,,
2136,15,15,柱用,tiong7,重,4.03用,13,重緟𨉢,4,澄,t,舌上音,全濁,,鍾開3舒聲,iong,去,7,,,,,
2137,41,15,良用,liong7,贚,4.03用,14,贚躘儱,3,來,l,半舌,次濁,收聲,鍾開3舒聲,iong,去,7,,,,,
2138,18,15,區用,khiong3,恐,4.03用,15,恐𢖶𦶐,5,溪,kh,牙音,次清,送氣,鍾開3舒聲,iong,去,3,,,,,
2139,23,15,疾用,ciong7,從,4.03用,16,從,1,從,c,齒頭音,全濁,,鍾開3舒聲,iong,去,7,,,,,
2140,16,15,穠用,liong7,𢫨,4.03用,17,𢫨,2,娘,l,舌上音,次濁,收聲,鍾開3舒聲,iong,去,7,,,,,
2141,17,19,古巷,kang3,絳,4.04絳,1,絳虹降𡲣洚,6,見,k,牙音,全清,發聲,江開2舒聲,ang,去,3,,,,,
2142,38,19,胡絳,hang7,巷,4.04絳,2,巷衖閧,3,匣,h,喉音,全濁,送氣,江開2舒聲,ang,去,7,,,,,
2143,13,19,陟降,tang3,戇,4.04絳,3,戇,1,知,t,舌上音,全清,發聲,江開2舒聲,ang,去,3,,,,,
2144,15,19,直絳,tang7,䡴,4.04絳,4,䡴憧𢤤幢撞艟,7,澄,t,舌上音,全濁,,江開2舒聲,ang,去,7,,,,,
2145,14,19,丑絳,thang3,𥈄,4.04絳,5,𥈄䚎,3,徹,th,舌上音,次清,送氣,江開2舒聲,ang,去,3,,,,,
2146,30,19,士絳,cang7,漴,4.04絳,6,漴,1,崇,c,正齒近齒頭,全濁,,江開2舒聲,ang,去,7,,,,,
2147,2,19,匹絳,phang3,肨,4.04絳,7,肨,1,滂,ph,重脣音,次清,送氣,江開2舒聲,ang,去,3,,,(胖),,
2148,28,19,楚絳,chang3,䎫,4.04絳,8,䎫,1,初,ch,正齒近齒頭,次清,送氣,江開2舒聲,ang,去,3,,,,,
2149,32,19,色絳,sang3,淙,4.04絳,9,淙㦼,2,生,s,正齒近齒頭,全清,送氣,江開2舒聲,ang,去,3,,,,,
2150,27,23,支義,ci3,寘,4.05寘,1,寘忮伎觶伿䚳𢻈𡽆,10,章,c,正齒近舌上,全清,發聲,支開3舒聲,i,去,3,,,,,
2151,3,23,毗義,pi7,避,4.05寘,2,避,1,並,p,重脣音,全濁,,支開3舒聲,i,去,7,,,,,
2152,27,27,之睡,cui3,惴,4.05寘,3,惴𦥻𦦇,5,章,c,正齒近舌上,全清,發聲,支合3舒聲,ui,去,3,,,,,
2153,41,23,力智,li7,詈,4.05寘,4,詈荔離㿛珕𥶾,7,來,l,半舌,次濁,收聲,支開3舒聲,i,去,7,,,,,
2154,34,23,是義,si7,豉,4.05寘,5,豉𢻃𢐂鯷䩃䊓,8,禪,s,正齒近齒頭,全濁,送氣,支開3舒聲,i,去,7,,,,,
2155,21,23,子智,ci3,積,4.05寘,6,積㰣𧂐𦎸,6,精,c,齒頭音,全清,發聲,支開3舒聲,i,去,3,,,,,
2156,24,23,斯義,si3,賜,4.05寘,7,賜𧀩澌𣩠儩杫,8,心,s,齒頭音,全清,送氣,支開3舒聲,i,去,3,,,,,
2157,40,27,于僞,Øui7,爲,4.05寘,8,爲,1,云,Ø,喉音,次濁,發聲,支合3舒聲,ui,去,7,,,,,
2158,17,27,詭僞,kui3,䞈,4.05寘,9,䞈垝㩻攱𢈌,6,見,k,牙音,全清,發聲,支合3舒聲,ui,去,3,,,,,
2159,2,23,披義,phi3,帔,4.05寘,10,帔秛襬,3,滂,ph,重脣音,次清,送氣,支開3舒聲,i,去,3,,,,,
2160,1,23,彼義,pi3,賁,4.05寘,11,賁佊詖貱陂跛藣,7,幫,p,重脣音,全清,發聲,支開3舒聲,i,去,3,,,,,
2161,3,23,平義,pi7,髲,4.05寘,12,髲被鞁㢰旇𤿙,7,並,p,重脣音,全濁,,支開3舒聲,i,去,7,,,,,
2162,41,27,良僞,lui7,累,4.05寘,13,累,1,來,l,半舌,次濁,收聲,支合3舒聲,ui,去,7,,,,,
2163,17,23,居義,ki3,寄,4.05寘,14,寄䐀徛,3,見,k,牙音,全清,發聲,支開3舒聲,i,去,3,,,,,
2164,1,23,卑義,pi3,臂,4.05寘,15,臂,1,幫,p,重脣音,全清,發聲,支開3舒聲,i,去,3,,,,,
