識別號,韻母碼,國際音標,白話字,台羅,閩拼,方音,十五音,十五音序,舒促聲,十五音識別碼
42,auh,au?,auh,auh,aoh,ㄠㆷ,交,23,促聲,交促
43,ia,ia,ia,ia,ia,ㄧㄚ,迦,24,舒聲,迦舒
44,iah,ia?,iah,iah,iah,ㄧㄚㆷ,迦,24,促聲,迦促
45,ue,ue,oe,ue,ue,ㄨㆤ,檜,25,舒聲,檜舒
46,ueh,ue?,oeh,ueh,ueh,ㄨㆤㆷ,檜,25,促聲,檜促
47,ann,ã,aⁿ,ann,na,ㆩ,監,26,舒聲,監舒
48,ahnn,ã?,aⁿh,annh,nah,ㆩㆷ,監,26,促聲,監促
49,u,u,u,u,u,ㄨ,艍,27,舒聲,艍舒
50,uh,u?,uh,uh,uh,ㄨㆷ,艍,27,促聲,艍促
51,a,a,a,a,a,ㄚ,膠,28,舒聲,膠舒
52,ah,a?,ah,ah,ah,ㄚㆷ,膠,28,促聲,膠促
53,i,i,i,i,i,ㄧ,居,29,舒聲,居舒
54,ih,i?,ih,ih,ih,ㄧㆷ,居,29,促聲,居促
55,iu,iu,iu,iu,iu,ㄧㄨ,丩,30,舒聲,丩舒
56,enn,ẽ,eⁿ,enn,ne,ㆥ,更,31,舒聲,更舒
57,ehnn,ẽ?,eⁿh,ennh,neh,ㆥㆷ,更,31,促聲,更促
58,uinn,uĩ,uiⁿ,uinn,nui,ㄨㆪ,褌,32,舒聲,褌舒
59,io,iə,io,io,io,ㄧㄜ,茄,33,舒聲,茄舒
60,ioh,iə?,ioh,ioh,ioh,ㄧㄜㆷ,茄,33,促聲,茄促
61,inn,ĩ,iⁿ,inn,ni,ㆪ,梔,34,舒聲,梔舒
62,ihnn,ĩ?,iⁿh,innh,nih,ㆪㆷ,梔,34,促聲,梔促
63,ionn,ĩɔ̃,ioⁿ,ionn,nioo,ㄧㆧ,薑,35,舒聲,薑舒
64,iann,iã,iaⁿ,iannh,nia,ㄧㆩ,驚,36,舒聲,驚舒
65,uann,ũã,oaⁿ,uann,nua,ㄨㆩ,官,37,舒聲,官舒
66,ng,ŋ̍,ng,ng,ng,ㆭ,鋼,38,舒聲,鋼舒
67,e,e,e,e,e,ㆤ,伽,39,舒聲,伽舒
68,eh,e?,eh,eh,eh,ㆤㆷ,伽,39,促聲,伽促
69,ainn,ãĩ,aiⁿ,ainn,nai,ㆮ,閒,40,舒聲,閒舒
70,oonn,ɔ̃ũ,oⁿ,onn,noo,ㆧ,姑,41,舒聲,姑舒
71,m,m̩,m,m,m,ㆬ,姆,42,舒聲,姆舒
72,uang,uaŋ,oang,uang,uang,ㄨㄤ,光,43,舒聲,光舒
73,uak,uak̚,oak,uak,uak,ㄨㄚㆻ,光,43,促聲,光促
74,uainn,uãĩ,oaiⁿ,uainn,nuai,ㄨㆮ,閂,44,舒聲,閂舒
75,uaihnn,uãĩ?,oaiⁿh,uainnh,nuaih,ㄨㆮㆷ,閂,44,促聲,閂促
76,uenn,uẽ,oeⁿ,uenn,nue,ㄨㆥ,糜,45,舒聲,糜舒
77,iaunn,ĩãũ,iauⁿ,iaunn,niao,ㄧㆯ,嘄,46,舒聲,嘄舒
78,iauhnn,ĩãũ?,iauⁿh,iaunnh,niaoh,ㄧㆯㆷ,嘄,46,促聲,嘄促
79,om,ɔm,om,om,om,ㆱ,箴,47,舒聲,箴舒
80,op,ɔp̚,op,op,op,ㆦㆴ,箴,47,促聲,箴促
81,aunn,ãũ,auⁿ,aunn,nao,ㆯ,爻,48,舒聲,爻舒
82,onn,õ,oⁿ,onn,noo,ㆧ,扛,49,舒聲,扛舒
83,ohnn,õh,oⁿh,onnh,nooh,ㆧㆷ,扛,49,促聲,扛促
84,iunn,iũ,iuⁿ,iunn,niu,ㄧㆫ,牛,50,舒聲,牛舒
