識別號,字,小韻切語,拼音,字義,上字表識別號,聲母,清濁,聲母拼音碼,小韻識別號,小韻字序,韻母,韻母拼音碼,調,四聲八調,拼音調號,備註
44,鮦,徒紅,tong5,爾雅云鰹大鮦又直冡直栁二切,7,定,全濁,t,2,27,東一,ong,平,濁平,5,
45,㼿,徒紅,tong5,井甓一云甃也,7,定,全濁,t,2,28,東一,ong,平,濁平,5,
46,𦏆,徒紅,tong5,無角羊,7,定,全濁,t,2,29,東一,ong,平,濁平,5,
47,𦍻,徒紅,tong5,上同,7,定,全濁,t,2,30,東一,ong,平,濁平,5,
48,眮,徒紅,tong5,目眶又徒揔切,7,定,全濁,t,2,31,東一,ong,平,濁平,5,
49,蕫,徒紅,tong5,草名又多動切,7,定,全濁,t,2,32,東一,ong,平,濁平,5,
50,穜,徒紅,tong5,穜稑先種後熟謂之穜後種先熟謂之稑又音重,7,定,全濁,t,2,33,東一,ong,平,濁平,5,
51,衕,徒紅,tong5,通街也,7,定,全濁,t,2,34,東一,ong,平,濁平,5,
52,𩍅,徒紅,tong5,靫具飾也,7,定,全濁,t,2,35,東一,ong,平,濁平,5,
53,𢈉,徒紅,tong5,地下應聲,7,定,全濁,t,2,36,東一,ong,平,濁平,5,
54,䆚,徒紅,tong5,通䆚也,7,定,全濁,t,2,37,東一,ong,平,濁平,5,
55,哃,徒紅,tong5,哃𠹔大言,7,定,全濁,t,2,38,東一,ong,平,濁平,5,
56,𢏕,徒紅,tong5,弓飾,7,定,全濁,t,2,39,東一,ong,平,濁平,5,
57,絧,徒紅,tong5,布名,7,定,全濁,t,2,40,東一,ong,平,濁平,5,
58,𨚯,徒紅,tong5,郷名,7,定,全濁,t,2,41,東一,ong,平,濁平,5,
59,𨝯,徒紅,tong5,地名又姓,7,定,全濁,t,2,42,東一,ong,平,濁平,5,
60,𪔝,徒紅,tong5,鼓聲,7,定,全濁,t,2,43,東一,ong,平,濁平,5,
61,𩦶,徒紅,tong5,黑虎,7,定,全濁,t,2,44,東一,ong,平,濁平,5,
62,𪒿,徒紅,tong5,黑皃,7,定,全濁,t,2,45,東一,ong,平,濁平,5,
63,中,陟弓,tiong1,平也成也宜也堪也任也和也半也又姓漢少府郷中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四,9,知,全清,t,3,1,東三,iong,平,清平,1,
64,衷,陟弓,tiong1,善也正也適也中也又衷衣褻衣也,9,知,全清,t,3,2,東三,iong,平,清平,1,
65,忠,陟弓,tiong1,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州,9,知,全清,t,3,3,東三,iong,平,清平,1,
66,𦬕,陟弓,tiong1,草名又音沖,9,知,全清,t,3,4,東三,iong,平,清平,1,
67,蟲,直弓,tiong5,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲[進/達]直弓切七,11,澄,全濁,t,4,1,東三,iong,平,濁平,5,
68,沖,直弓,tiong5,和也深也,11,澄,全濁,t,4,2,東三,iong,平,濁平,5,
69,种,直弓,tiong5,稚也或作沖亦姓後漢司徒河南种暠,11,澄,全濁,t,4,3,東三,iong,平,濁平,5,
70,盅,直弓,tiong5,器虛也又敕中切,11,澄,全濁,t,4,4,東三,iong,平,濁平,5,
71,爞,直弓,tiong5,爾雅云爞爞炎炎熏也,11,澄,全濁,t,4,5,東三,iong,平,濁平,5,
72,𦬕,直弓,tiong5,草名又音中,11,澄,全濁,t,4,6,東三,iong,平,濁平,5,
73,翀,直弓,tiong5,直上飛也,11,澄,全濁,t,4,7,東三,iong,平,濁平,5,
74,終,職戎,ziong1,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,30,照,全清,z,5,1,東三,iong,平,清平,1,
75,衆,職戎,ziong1,又之仲切,30,照,全清,z,5,2,東三,iong,平,清平,1,
76,潨,職戎,ziong1,小水入大水又徂紅在冬二切,30,照,全清,z,5,3,東三,iong,平,清平,1,
77,𣧩,職戎,ziong1,殁也,30,照,全清,z,5,4,東三,iong,平,清平,1,
78,螽,職戎,ziong1,螽斯蟲也,30,照,全清,z,5,5,東三,iong,平,清平,1,
79,𧑄,職戎,ziong1,上同,30,照,全清,z,5,6,東三,iong,平,清平,1,
80,鼨,職戎,ziong1,豹文䑕也,30,照,全清,z,5,7,東三,iong,平,清平,1,
81,蔠,職戎,ziong1,蔠葵蘩露也,30,照,全清,z,5,8,東三,iong,平,清平,1,
82,柊,職戎,ziong1,木名又齊人謂椎爲柊楑也,30,照,全清,z,5,9,東三,iong,平,清平,1,
83,𩅧,職戎,ziong1,小雨,30,照,全清,z,5,10,東三,iong,平,清平,1,
84,䶱,職戎,ziong1,字書云龜名也,30,照,全清,z,5,11,東三,iong,平,清平,1,
85,鴤,職戎,ziong1,鳥名,30,照,全清,z,5,12,東三,iong,平,清平,1,
86,䈺,職戎,ziong1,篋䈺戎人呼之,30,照,全清,z,5,13,東三,iong,平,清平,1,
87,泈,職戎,ziong1,水名在襄陽,30,照,全清,z,5,14,東三,iong,平,清平,1,
88,䝦,職戎,ziong1,獸如豹,30,照,全清,z,5,15,東三,iong,平,清平,1,
89,忡,敕中,thiong1,憂也敕中切三,10,徹,次清,th,6,1,東三,iong,平,清平,1,
90,浺,敕中,thiong1,浺瀜水平逺之皃又音蟲,10,徹,次清,th,6,2,東三,iong,平,清平,1,
91,盅,敕中,thiong1,器虚也又音蟲,10,徹,次清,th,6,3,東三,iong,平,清平,1,
92,崇,鋤弓,ziong5,高也敬也就也聚也又姓鋤弓切四,28,床,全濁,z,7,1,東三,iong,平,濁平,5,
93,崈,鋤弓,ziong5,上同,28,床,全濁,z,7,2,東三,iong,平,濁平,5,
94,㓽,鋤弓,ziong5,鍤屬,28,床,全濁,z,7,3,東三,iong,平,濁平,5,
95,𩞉,鋤弓,ziong5,饞𩞉貪食也出古今字音,28,床,全濁,z,7,4,東三,iong,平,濁平,5,
96,嵩,息弓,siong1,山髙也又山名又姓史記有嵩極玄子或作崧息弓切九,24,心,全清,s,8,1,東三,iong,平,清平,1,
97,崧,息弓,siong1,上同,24,心,全清,s,8,2,東三,iong,平,清平,1,
98,𪀚,息弓,siong1,似鷹而小能捕雀也,24,心,全清,s,8,3,東三,iong,平,清平,1,
99,娀,息弓,siong1,有娀氏女𥳑狄帝嚳次妃吞乙卵生契,24,心,全清,s,8,4,東三,iong,平,清平,1,
100,菘,息弓,siong1,菜名,24,心,全清,s,8,5,東三,iong,平,清平,1,
101,硹,息弓,siong1,地名在遼,24,心,全清,s,8,6,東三,iong,平,清平,1,
102,㣝,息弓,siong1,姓也,24,心,全清,s,8,7,東三,iong,平,清平,1,
103,𧊕,息弓,siong1,蟲名,24,心,全清,s,8,8,東三,iong,平,清平,1,
104,𨱿,息弓,siong1,細毛,24,心,全清,s,8,9,東三,iong,平,清平,1,
105,戎,如融,jiong5,戎狄亦助也≆說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,41,日,次濁,j,9,1,東三,iong,平,濁平,5,
106,𢦦,如融,jiong5,上同,41,日,次濁,j,9,2,東三,iong,平,濁平,5,
107,茙,如融,jiong5,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也,41,日,次濁,j,9,3,東三,iong,平,濁平,5,
108,㭜,如融,jiong5,木名,41,日,次濁,j,9,4,東三,iong,平,濁平,5,
109,駥,如融,jiong5,馬八尺也,41,日,次濁,j,9,5,東三,iong,平,濁平,5,
110,𥬪,如融,jiong5,小竹可爲矢,41,日,次濁,j,9,6,東三,iong,平,濁平,5,
111,𠈋,如融,jiong5,𠈋人身有三角也,41,日,次濁,j,9,7,東三,iong,平,濁平,5,
112,狨,如融,jiong5,細布,41,日,次濁,j,9,8,東三,iong,平,濁平,5,
113,絨,如融,jiong5,上同,41,日,次濁,j,9,9,東三,iong,平,濁平,5,
114,弓,居戎,kiong1,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也丗本曰黃帝臣揮作弓墨子曰羿作弓孫子曰[傜/倕]作弓又姓魯大夫叔弓之後居戎切六,1,見,全清,k,10,1,東三,iong,平,清平,1,
115,躳,居戎,kiong1,身也親也又姓出姓苑,1,見,全清,k,10,2,東三,iong,平,清平,1,
116,躬,居戎,kiong1,上同,1,見,全清,k,10,3,東三,iong,平,清平,1,
117,㴦,居戎,kiong1,縣名在酒泉,1,見,全清,k,10,4,東三,iong,平,清平,1,
118,宮,居戎,kiong1,白虎通曰黃帝作宫室以避寒暑宫之言中也丗本曰禹作宫亦官名漢書曰少府官有守宫令主御筆墨紙封書泥也又姓左傳虞有宫之奇,1,見,全清,k,10,5,東三,iong,平,清平,1,
119,匑,居戎,kiong1,謹敬之皃又音穹,1,見,全清,k,10,6,東三,iong,平,清平,1,
120,融,以戎,iong5,和也朗也≆說文曰炊气上出也又姓丗本云古天子祝融之後以戎切四,39,喻,次濁,Ø,11,1,東三,iong,平,濁平,5,
121,肜,以戎,iong5,祭名又敕林切,39,喻,次濁,Ø,11,2,東三,iong,平,濁平,5,
122,瀜,以戎,iong5,沖瀜大水皃,39,喻,次濁,Ø,11,3,東三,iong,平,濁平,5,
123,雄,羽弓,iong5,雄雌也亦姓舜友有雄陶羽弓切二,38,為,次濁,Ø,12,1,東三,iong,平,濁平,5,
124,熊,羽弓,iong5,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊冝僚又漢複姓左傳楚大夫熊率且比,38,為,次濁,Ø,12,2,東三,iong,平,濁平,5,
125,瞢,莫中,miong5,目不明莫中切六,16,明,次濁,m,13,1,東三,iong,平,濁平,5,
126,夢,莫中,miong5,≆說文曰不明也又武仲切,16,明,次濁,m,13,2,東三,iong,平,濁平,5,
127,𨞯,莫中,miong5,邑名在[魯/曹]郡,16,明,次濁,m,13,3,東三,iong,平,濁平,5,
128,懜,莫中,miong5,慙也國語云君使臣懜,16,明,次濁,m,13,4,東三,iong,平,濁平,5,
129,𦫰,莫中,miong5,𦫰𦫰醜皃,16,明,次濁,m,13,5,東三,iong,平,濁平,5,
130,𧲎,莫中,miong5,獸似豕目在耳出崐崘,16,明,次濁,m,13,6,東三,iong,平,濁平,5,
131,穹,去宮,khiong1,髙也去宫切七,2,溪,次清,kh,14,1,東三,iong,平,清平,1,
132,𢞏,去宮,khiong1,憂也,2,溪,次清,kh,14,2,東三,iong,平,清平,1,
133,焪,去宮,khiong1,乾也,2,溪,次清,kh,14,3,東三,iong,平,清平,1,
134,芎,去宮,khiong1,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,2,溪,次清,kh,14,4,東三,iong,平,清平,1,
135,𦵡,去宮,khiong1,上同,2,溪,次清,kh,14,5,東三,iong,平,清平,1,
136,匑,去宮,khiong1,謹敬之皃,2,溪,次清,kh,14,6,東三,iong,平,清平,1,
137,𥳎,去宮,khiong1,𥳎籠也又去龍切,2,溪,次清,kh,14,7,東三,iong,平,清平,1,
138,窮,渠弓,khiong5,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三,3,群,全濁,kh,15,1,東三,iong,平,濁平,5,
139,藭,渠弓,khiong5,芎藭,3,群,全濁,kh,15,2,東三,iong,平,濁平,5,
140,𥨪,渠弓,khiong5,羿所封國,3,群,全濁,kh,15,3,東三,iong,平,濁平,5,
141,馮,房戎,hiong5,馮翊郡名又姓畢公髙之伸食采於馮城因而命氏出杜陵乃長樂房戎切七,19,奉,全濁,h,16,1,東三,iong,平,濁平,5,
142,堸,房戎,hiong5,蟲室,19,奉,全濁,h,16,2,東三,iong,平,濁平,5,
143,汎,房戎,hiong5,浮也又孚劔切,19,奉,全濁,h,16,3,東三,iong,平,濁平,5,
144,芃,房戎,hiong5,草盛也又音蓬,19,奉,全濁,h,16,4,東三,iong,平,濁平,5,
145,𨝭,房戎,hiong5,姬姓之國,19,奉,全濁,h,16,5,東三,iong,平,濁平,5,
146,渢,房戎,hiong5,𢎞大聲也,19,奉,全濁,h,16,6,東三,iong,平,濁平,5,
147,梵,房戎,hiong5,木得風皃又防泛切,19,奉,全濁,h,16,7,東三,iong,平,濁平,5,
148,風,方戎,hiong1,敎也佚也告也聲也河圖曰風者天地之使元命包曰隂陽怒而爲風方戎切七,17,非,全清,h,17,1,東三,iong,平,清平,1,
149,飌,方戎,hiong1,古文,17,非,全清,h,17,2,東三,iong,平,清平,1,
150,楓,方戎,hiong1,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝髙三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄,17,非,全清,h,17,3,東三,iong,平,清平,1,
151,猦,方戎,hiong1,猦[母/𤝕]狀如猿逢人則叩頭小打便死得風還活出異物志,17,非,全清,h,17,4,東三,iong,平,清平,1,
152,偑,方戎,hiong1,地名,17,非,全清,h,17,5,東三,iong,平,清平,1,
153,檒,方戎,hiong1,檒梵聲也,17,非,全清,h,17,6,東三,iong,平,清平,1,
154,𧆉,方戎,hiong1,竹名出南海,17,非,全清,h,17,7,東三,iong,平,清平,1,
155,豐,敷空,hiong1,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷[空/隆]切八,18,敷,次清,h,18,1,東三,iong,平,清平,1,
156,酆,敷空,hiong1,邑名亦姓左傳有狄相酆舒,18,敷,次清,h,18,2,東三,iong,平,清平,1,
157,蘴,敷空,hiong1,蕪菁苗也,18,敷,次清,h,18,3,東三,iong,平,清平,1,
158,灃,敷空,hiong1,水名在咸陽,18,敷,次清,h,18,4,東三,iong,平,清平,1,
159,寷,敷空,hiong1,大屋,18,敷,次清,h,18,5,東三,iong,平,清平,1,
160,麷,敷空,hiong1,煑麥,18,敷,次清,h,18,6,東三,iong,平,清平,1,
161,㒥,敷空,hiong1,偓㒥仙人,18,敷,次清,h,18,7,東三,iong,平,清平,1,
162,㠦,敷空,hiong1,山名,18,敷,次清,h,18,8,東三,iong,平,清平,1,
163,充,昌終,ciong1,美也塞也行也滿也昌終切七,31,穿,次清,c,19,1,東三,iong,平,清平,1,
164,珫,昌終,ciong1,珫耳玉名詩傳云充耳謂之瑱字俗從玉,31,穿,次清,c,19,2,東三,iong,平,清平,1,
165,茺,昌終,ciong1,茺蔚草也,31,穿,次清,c,19,3,東三,iong,平,清平,1,
166,㤝,昌終,ciong1,心動,31,穿,次清,c,19,4,東三,iong,平,清平,1,
167,䘪,昌終,ciong1,䘪襌衣也,31,穿,次清,c,19,5,東三,iong,平,清平,1,
168,𪎽,昌終,ciong1,黃色又音統,31,穿,次清,c,19,6,東三,iong,平,清平,1,
169,㳘,昌終,ciong1,水聲,31,穿,次清,c,19,7,東三,iong,平,清平,1,
170,隆,力中,liong5,盛也豐也大也力中切六,40,來,次濁,l,20,1,東三,iong,平,濁平,5,
171,癃,力中,liong5,病也亦作𤸇,40,來,次濁,l,20,2,東三,iong,平,濁平,5,
172,𪔳,力中,liong5,鼓聲俗作𪔴,40,來,次濁,l,20,3,東三,iong,平,濁平,5,
173,窿,力中,liong5,穹隆天勢俗加穴,40,來,次濁,l,20,4,東三,iong,平,濁平,5,
174,霳,力中,liong5,豐隆雷師俗加雨,40,來,次濁,l,20,5,東三,iong,平,濁平,5,
175,㚅,力中,liong5,多㚅礼天,40,來,次濁,l,20,6,東三,iong,平,濁平,5,
176,空,苦紅,khong1,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四,2,溪,次清,kh,21,1,東一,ong,平,清平,1,
177,箜,苦紅,khong1,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也,2,溪,次清,kh,21,2,東一,ong,平,清平,1,
178,崆,苦紅,khong1,崆峒,2,溪,次清,kh,21,3,東一,ong,平,清平,1,
179,椌,苦紅,khong1,器物朴也又丘江切,2,溪,次清,kh,21,4,東一,ong,平,清平,1,
180,硿,苦紅,khong1,硿青色[-/石]也,2,溪,次清,kh,21,5,東一,ong,平,清平,1,
181,䅝,苦紅,khong1,稻稈,2,溪,次清,kh,21,6,東一,ong,平,清平,1,
182,悾,苦紅,khong1,悾悾信也慤也,2,溪,次清,kh,21,7,東一,ong,平,清平,1,
183,埪,苦紅,khong1,土埪龕也,2,溪,次清,kh,21,8,東一,ong,平,清平,1,
184,倥,苦紅,khong1,倥侗,2,溪,次清,kh,21,9,東一,ong,平,清平,1,
185,涳,苦紅,khong1,涳濛小雨又口江切,2,溪,次清,kh,21,10,東一,ong,平,清平,1,
186,鵼,苦紅,khong1,怪鳥出字統,2,溪,次清,kh,21,11,東一,ong,平,清平,1,
187,𦱇,苦紅,khong1,𦱇心草也,2,溪,次清,kh,21,12,東一,ong,平,清平,1,
188,𢃐,苦紅,khong1,衣袂,2,溪,次清,kh,21,13,東一,ong,平,清平,1,
189,𧌆,苦紅,khong1,蟬脫𧌆皮,2,溪,次清,kh,21,14,東一,ong,平,清平,1,
190,公,古紅,kong1,通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何[𦵧/藐]公父歜公賔庚公思展公鉏極公[申/甲]叔子費宰公山弗櫌公甲叔公巫召伯衞有公文要戰國䇿齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公愼氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙録有大中大夫公帥式子夏門人齊人公羊髙作春秋傳列女傳有公乗之姒墨子魯有公輸班衞大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今髙平人衞大夫公南文子魯有公荆皎衞大夫公子荆之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱髙宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後吕氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰别傳有渤海公族進階衞大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世郷秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今髙平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衞有𢈔公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衞有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉丗本有大公叔頴又有公紀氏衞有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三,1,見,全清,k,22,1,東一,ong,平,清平,1,
191,功,古紅,kong1,功績也≆說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作功,1,見,全清,k,22,2,東一,ong,平,清平,1,
192,工,古紅,kong1,官也又工巧也,1,見,全清,k,22,3,東一,ong,平,清平,1,
193,疘,古紅,kong1,文字集略云脱疘下部病也,1,見,全清,k,22,4,東一,ong,平,清平,1,
194,蚣,古紅,kong1,蜈蚣蟲,1,見,全清,k,22,5,東一,ong,平,清平,1,
195,玒,古紅,kong1,王名又音江,1,見,全清,k,22,6,東一,ong,平,清平,1,
196,釭,古紅,kong1,車釭≆說文曰車轂中鐵也又古雙切,1,見,全清,k,22,7,東一,ong,平,清平,1,
197,魟,古紅,kong1,䱑魟江蟲形似蟹可食又音烘,1,見,全清,k,22,8,東一,ong,平,清平,1,
198,攻,古紅,kong1,攻擊,1,見,全清,k,22,9,東一,ong,平,清平,1,
199,㓚,古紅,kong1,銍穫也,1,見,全清,k,22,10,東一,ong,平,清平,1,
200,愩,古紅,kong1,憒也,1,見,全清,k,22,11,東一,ong,平,清平,1,
201,碽,古紅,kong1,擊聲,1,見,全清,k,22,12,東一,ong,平,清平,1,
202,篢,古紅,kong1,篢笠方言,1,見,全清,k,22,13,東一,ong,平,清平,1,
203,蒙,莫紅,mong5,覆也奄也爾雅釋草曰蒙王女也莫紅切二十[六/七],16,明,次濁,m,23,1,東一,ong,平,濁平,5,
204,冡,莫紅,mong5,≆說文覆也,16,明,次濁,m,23,2,東一,ong,平,濁平,5,
205,濛,莫紅,mong5,涳濛細雨,16,明,次濁,m,23,3,東一,ong,平,濁平,5,
206,𩦺,莫紅,mong5,驢子曰𩦺,16,明,次濁,m,23,4,東一,ong,平,濁平,5,
207,艨,莫紅,mong5,艨艟戰船又武用切,16,明,次濁,m,23,5,東一,ong,平,濁平,5,
208,䑃,莫紅,mong5,大皃,16,明,次濁,m,23,6,東一,ong,平,濁平,5,
209,矇,莫紅,mong5,矇瞽,16,明,次濁,m,23,7,東一,ong,平,濁平,5,
210,饛,莫紅,mong5,盛食滿皃,16,明,次濁,m,23,8,東一,ong,平,濁平,5,
